Client,Supplier,SupplierAccountGroup,SupplierName,SupplierFullName,IsBusinessPurposeCompleted,CreatedByUser,CreationDate,IsOneTimeAccount,AuthorizationGroup,VatRegistration,AccountIsBlockedForPosting,TaxJurisdiction,SupplierCorporateGroup,Customer,Industry,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumber6,PostingIsBlocked,PurchasingIsBlocked,InternationalAllocationNumber1,InternationalAllocationNumber2,InternationalAllocationNumber3,AddressId,Region,OrganizationBpName1,OrganizationBpName2,CityName,PostalCode,StreetName,Country,ConcatenatedInternationAllocNo,SupplierProcurementBlock,SuplrQualityManagementSystem,SupplierLanguage,PhoneNumber1,FaxNumber,IsNaturalPerson,VatLiability,ResponsibleType,TaxNumberType,BusinessType,BirthDate,SortField,PhoneNumber2,DeletionIndicator,TaxInvoiceRepresentativeName,IndustryType,TradingPartner,DataMediumExchangeIndicator,TrainStationName,AlternativePayeeIsAllowed,SupplierIsPlantRelevant,SupplierPlant,FactoryCalendar
700,0000000527,ZIMP,"Banks, Romero and Murphy - Logistica","Banks, Romero and Murphy - Logistica",,Y3W03MP,20210216,,,,,US9609033496,0000535420,0010066771,2465,88-2352796,,,,,,,,4192973,37329,1,0006860436,WA,"Banks, Romero and Murphy - Logistic",Operations,Brittanyhaven,15212,172 Nicholas Bypass Suite 980,US,4192973373291,01,9360,E,+19084595493,,,,,US,,,BANKSROMER,,,,,,,,,,P001,02
400,0000000586,ZE02,Martinez SARL - Logistica,Martinez SARL - Logistica,,FXO1LJM8SU,20121128,,,,,FR5470308268,,0010083632,8196,PCDMP9852TWPW,,,,,,,,2702007,59941,2,0009551162,ARA,Martinez SARL - Logistica,Chemicals SARL,Sainte Claudedan,41028,"35, chemin Édouard Collet",FR,2702007599412,01,5539,F,+87147728498,,,,,,,,MARTINEZSA,+55706481406,,,Exportacao,,,,,,P002,02
100,0000000589,ZE01,Mendes - Servicos Industriais,Mendes - Servicos Industriais,,JXMG5,20201116,,,,,BR0287569775,,0010016935,3270,23432249214536  ,51572504706,,,,,,,6047763,85703,5,0002188666,PR,Mendes - Servicos Industriais,Logistics ME,Montenegro da Praia,37408623,"Lago Almeida, 9",BR,6047763857035,02,0650,P,+5558941365988,,,,,,,,MENDES,+555835654676,,Apollo Dia,,,1,,,,P002,01
700,0000000590,ZSVC,Scott-Fisher - Servicos Industriais,Scott-Fisher - Servicos Industriais,,0Q3Q1C,20230404,,,,,,,0010029298,7142,37-7385419,,,,,,,,9487482,66582,7,0000488862,FL,Scott-Fisher - Servicos Industriais,Shared Services,East Josephport,29788,611 Potter Lake Suite 709,US,9487482665827,01,4369,E,+15679006334,,,,,FR,,,SCOTTFISHE,+15359821473,,Daniel Sha,,,,,,,P001,02
200,0000000712,ZLIF,Vieira - Componentes,Vieira - Componentes,,S2MLMN7Q,20250508,,,19110723390545,,,,0010006083,5796,19110723390545  ,66568564151,,,,,,,0901648,65464,8,0004297892,MG,Vieira - Componentes,Operations,Araújo Verde,87780038,"Núcleo Sampaio, 4",BR,0901648654648,01,,P,+5575934395897,,,,,,,,VIEIRA,+557537820291,,,,,1,,,,P004,01
200,0000000848,ZIMP,Fonseca Nascimento - ME - Componentes,Fonseca Nascimento - ME - Componentes,,FQQ32YC,20210730,,,00797226614199,,BR4257190515,,0010043157,3991,00797226614199  ,,,,,,,,3564425,54552,4,0001230290,SC,Fonseca Nascimento - ME - Component,Distribution,Peixoto de das Neves,97726383,"Estrada Milena Azevedo, 1",BR,3564425545524,02,8732,P,+5594969124471,,,,,FR,,,FONSECANAS,,,,Manufatura Discreta,,,,,,P002,02
400,0000000858,ZE02,"Wilson, Brown and Terry - Servicos Industriais","Wilson, Brown and Terry - Servicos Industriais",,5H4LB4YGRFF,20220513,,,B4EY6ZLQRZ63VU9PHV7,,,0000983466,0010102678,2237,37-4561734,,,,,,,,4937719,90716,7,0008117957,WA,"Wilson, Brown and Terry - Servicos ",Chemicals Corp.,West Cynthiaborough,13541,8999 Johnson Burg,US,4937719907167,01,,E,+19198818677,,,,,DE,Alimentos e Bebidas,,WILSONBROW,+17985508477,,,Manufatura Discreta,,1,,X,,P002,02
600,0000000878,ZSVC,Summers PLC - Componentes,Summers PLC - Componentes,,N8PTIAV,20210707,,,,,US6556916445,,0010081626,2623,26-5523361,,,,,,,,9906010,20852,4,0007229662,NY,Summers PLC - Componentes,Metals Holdings,New Andrew,22310,910 Obrien Forks,US,9906010208524,02,6300,E,+17508468070,,,,,FR,,,SUMMERSPLC,+16683296742,,,Exportacao,682531,,,,,P001,02
300,0000000892,ZE02,Palomo y Benavides A.C. - Materiais,Palomo y Benavides A.C. - Materiais,,VNM92B00O,20240530,,,24GUHT4D,,,,0010115483,6615,9N2KTY3UUDK9ES,,,,,,,,6767355,36465,2,0007064196,JAL,Palomo y Benavides A.C. - Materiais,Maritime S.A. de C.V.,Vieja Francia,056231,Ampliación Norte Cervántez 653 Edif,MX,6767355364652,01,5345,S,+65746625495,,,,,US,Varejo Especializado,,PALOMOYBEN,,,,,,,,,,P002,02
600,0000000894,ZSVC,株式会社井上農林 - Materiais,株式会社井上農林 - Materiais,,8BMV26FQS51D,20131228,,,,,,,0010010442,5229,3SJ0AYRZ,,,,,,,,8308271,88444,5,0008377142,XX,株式会社井上農林 - Materiais,Maritime 株式会社,千代田区,23069,162 鈴木 Street,JP,8308271884445,01,1804,J,+44830013417,,,,,MX,,,株式会社井上農林,,,,,,,あなた自身 バケツ,,,P004,01
200,0000000991,ZE01,Jimenez-Murray - Servicos Industriais,Jimenez-Murray - Servicos Industriais,,KTYEWADDW5L,20201003,,,,,,,0010028999,7454,S0GDH9JD,,,,,,,,6995641,47633,4,0001909108,BC,Jimenez-Murray - Servicos Industria,Import,North James,095114,54790 Brittany Ford,CA,6995641476334,01,4392,E,+17072762690,,,,,FR,,,JIMENEZMUR,,,,,,,,,,P003,02
510,0000000992,ZE01,Leão Farias S/A - Materiais,Leão Farias S/A - Materiais,,5LWJCOQQQSW,20260305,,,53H4R1V9OU19D0,,BR6596964982,,0010020098,9249,99696513154423  ,,,,,,,,0950390,38545,7,0003819395,RJ,Leão Farias S/A - Materiais,Import,Cardoso,29732672,"Lagoa de Farias, 2",BR,0950390385457,02,,P,+5599984624431,,,,,,,,LEÃOFARIAS,,,,Servicos Industriais,,,,,,P002,01
700,0000001009,ZSVC,Corporacin Puga y Rodríguez - Materiais,Corporacin Puga y Rodríguez - Materiais,X,5GWGOV,20260318,,,NI4IYKW9O0LUSEY4,,MX2040023496,,0010013012,8290,A44HZDADQA6B4U5,,,,,,,,8066843,67209,5,0003811143,JAL,Corporacin Puga y Rodríguez - Mater,Tech S.A. de C.V.,Nueva Tonga,74581,Diagonal Munguía 233 821,MX,8066843672095,02,8904,S,+81698674370,,,,,US,Industria de Embalagens,,CORPORACIN,,,,,,,,,,P002,01
100,0000001079,ZE02,Lewis-Stewart - Servicos Industriais,Lewis-Stewart - Servicos Industriais,,Q1ZP6RJUQ,20130827,,,3IQWTMX6CH35UKGVR,,US5172551533,0000621257,0010068398,3849,77-7811805,81000748105,D6D2DTDQ3EB96UNIP0,OKJANIK1C13UVAMGN7,,,,,7575746,40542,0,0008566052,MA,Lewis-Stewart - Servicos Industriai,Automotive LLC,South Aaron,60251,192 Daniel Parkways Apt. 768,US,7575746405420,02,5029,E,+16008254708,,,,,GB,Distribuicao Atacadista,,LEWISSTEWA,+13373729732,,,Comercio B2C,,,,,,P002,01
400,0000001090,ZE01,Garza-Crespo - Materiais,Garza-Crespo - Materiais,,DWON78,20120104,,WMR2,,,MX1612244044,,0010008255,5076,NM4US0GLV2X,,,,,,,,0924685,82759,3,0001821020,,Garza-Crespo - Materiais,Industrial S. de R.L.,Vieja Tuvalu,021830,Continuación Flores 529 593,MX,0924685827593,01,7579,S,+68779753941,,,,,MX,,,GARZACRESP,+68402609339,,,,,1,,,,P003,02
700,0000001150,ZSVC,Despacho Loya-Almaraz - Logistica,Despacho Loya-Almaraz - Logistica,,FRJOLMT8VB7,20190906,,,P5RNR7VBNIJ,,,,0010019742,7148,Q565JDS3Q,66321088256,,,,,,,3999158,69519,4,0005159151,NL,Despacho Loya-Almaraz - Logistica,Regional Hub,Nueva Sierra Leona,93102,Continuación Zamudio 176 Edif. 047 ,MX,3999158695194,02,9834,S,+26897435739,,,,,DE,,,DESPACHOLO,,,,,,,,,,P003,02
812,0000001193,ZOTH,Wilson-Brown - Materiais,Wilson-Brown - Materiais,,7SNYJ,20120223,,,,,US0139299216,,0010032546,3744,74-3268675,31326249687,,,,,,,9574672,66290,9,0007855269,WA,Wilson-Brown - Materiais,Packaging LLC,Clarktown,13187,258 Davis Crest,US,9574672662909,01,9344,E,+17627961796,,,,,DE,,,WILSONBROW,,,,Comercio B2C,,,,X,,P003,01
200,0000001198,ZIMP,Fernandes - Logistica,Fernandes - Logistica,,Y31Q3KII3Q,20251016,,,4RHHIJO96WHD9X,,PT1711167742,,0010047498,0583,5ENUM21X,,,,,,,,1886018,46762,8,0007254140,XX,Fernandes - Logistica,Trading S.A.,Costa da Caparica,44258,Largo Novo (à Travessa das Águas Bo,PT,1886018467628,01,2473,P,+69192301696,,,,,FR,Industria Quimica,,FERNANDES,,,,Importacao,,,,,,P004,02
700,0000001438,ZE02,Leão - Componentes,Leão - Componentes,,1VQPI0CK3,20140424,,9QG0,,,,,0010045839,5414,68532270033320  ,,,,,,,,6428132,50978,5,0007894735,RJ,Leão - Componentes,Regional Hub,Farias,45580105,"Setor Guerra, 9",BR,6428132509785,02,9039,P,+5587959686148,,,X,,GB,,,LEÃO,,,,,,,,,,P004,01
300,0000001469,ZSVC,Cervántez y Amador A.C. - Logistica,Cervántez y Amador A.C. - Logistica,,BM86MWAYOZ1,20210811,,,,,MX9811072778,,0010070461,4792,83EPSGP9X,58710157710,,,,,,,2385406,63808,8,0001777268,JAL,Cervántez y Amador A.C. - Logistica,Pharma S. de R.L.,San Berta los bajos,028218,Boulevard Baja California 680 Edif.,MX,2385406638088,01,,S,+25371237813,+50986550682,,,,,,,CERVÁNTEZY,,,,Distribuicao Nacional,,,,,,P001,02
812,0000001489,ZLIF,Cavalcanti - Componentes,Cavalcanti - Componentes,,BMZOXFCD94,20150224,,,28584744884134,,,,0010074780,9418,28584744884134  ,,,,,,,,8635130,40810,9,0009227738,,Cavalcanti - Componentes,Procurement,Abreu do Campo,79140967,"Quadra Azevedo, 6",BR,8635130408109,01,4195,P,+5573939141971,,,,,DE,,,CAVALCANTI,,,,,,,,X,X,P004,01
700,0000001521,ZSVC,Moore-Walters - Materiais,Moore-Walters - Materiais,,G2YVZGYAEX53,20230404,,,9A0R4XO1DTP8WD5TG,,US9411058592,,0010021970,2836,48-8106295,79142731759,OMHSWAL1G6ERU68SVK,,,,,,5684252,60213,6,0009174740,TX,Moore-Walters - Materiais,Tech Holdings,North Ryanport,64015,430 Melvin Point Suite 970,US,5684252602136,02,5524,E,+17297405111,,,,,DE,,19630515,MOOREWALTE,+15653781823,,,Comercio B2B,,,,,,P003,02
200,0000001578,ZIMP,Robinson-Morales - Logistica,Robinson-Morales - Logistica,,HU2UYUMSZN,20250815,,,,,,,0010065554,0145,83-1633589,,,,,,,,6882824,62466,0,0003807492,MA,Robinson-Morales - Logistica,Foods Holdings,Colestad,67852,08122 Danielle Spur,US,6882824624660,01,5403,E,+16338553997,,,,,US,,,ROBINSONMO,,,,,,,,,,P003,01
812,0000001611,ZE01,Peixoto Ltda. - Materiais,Peixoto Ltda. - Materiais,,8GACF,20190218,,,9OB1DPM,,BR6718519605,,0010045393,3229,37025763792462  ,,,VF36BV9L516CFXBWZ3,,,,,2177392,38268,5,0000648718,SC,Peixoto Ltda. - Materiais,Wholesale ME,Cunha,27452179,Fazenda de Pinto,BR,2177392382685,02,4039,P,+5583914161866,,,,,US,,,PEIXOTOLTD,+558331936391,,Manuela Ol,,,1,,,,P003,02
510,0000001725,ZOTH,"Stanton, Lewis and Glenn - Servicos Industriais","Stanton, Lewis and Glenn - Servicos Industriais",,LWY9GVX,20220820,,,18DQ1P9,,US3923834532,,0010090936,8990,98-2572938,,,,,,,,4148856,87912,8,0008311271,,"Stanton, Lewis and Glenn - Servicos",Packaging LLC,West Michael,36057,2259 Brown Mews Suite 270,US,4148856879128,01,3024,E,+17772587001,,,,,DE,Construção e Infraestrutura,,STANTONLEW,,,,,660584,,,,,P003,02
200,0000001728,ZE01,Industrias Alvarez y asociados S.Co - Componentes,Industrias Alvarez y asociados S.Co - Componentes,,A97T42KXWAR,20140627,,,,,,,0010095496,8070,234Z09ULXEA,,,,,,,,0223534,42990,5,0006791485,MAD,Industrias Alvarez y asociados S.Co,Industrial S.A.,Córdoba,018430,Glorieta Reyes Riba 37 Piso 9,ES,0223534429905,02,0370,S,+69387278193,,,,,BR,Construção e Infraestrutura,,INDUSTRIAS,+53410709131,,Hilario Ll,Importacao,,,,,,P002,01
100,0000001767,ZE02,"Ortiz, Ward and Johnson - Servicos Industriais","Ortiz, Ward and Johnson - Servicos Industriais",,MBO00NAHPO,20150203,,,OEBYF26GHU2YGGESOX2,,US8206616579,,0010054232,1735,85-4378144,15132932380,,,,,,,3856584,77378,4,0004563978,NY,"Ortiz, Ward and Johnson - Servicos ",Trading Holdings,Ashleyborough,38339,03162 Smith Passage Apt. 184,US,3856584773784,02,7530,E,+17227880156,,,,,MX,Farmaceutico e Saude,,ORTIZWARDA,,,,,,,,,X,P002,01
200,0000001768,ZSVC,Didier - Servicos Industriais,Didier - Servicos Industriais,,AFOAZ7D,20240625,,,4NONIZMUJV1D5UFC1W,,FR5902831728,,0010044338,5814,L4L7QD254,29716947133,HR6JW3QPIS4ILKSFUF,,,,,,5322026,11881,7,0008389389,NAQ,Didier - Servicos Industriais,Foods SARL,Marydan,73911,"60, rue Noémi Nicolas",FR,5322026118817,01,5694,F,+89328415457,,,,,FR,,,DIDIER,+57532291079,,,,,,,,,P004,02
200,0000001778,ZOTH,Fabre - Servicos Industriais,Fabre - Servicos Industriais,,8SN23CK4VB,20150830,,,JGGXBIK9F6VDZOGE,,,,0010029896,0261,4ONW17O7K4PWC8N,91963464773,,,,,,,9961821,42441,5,0002223586,,Fabre - Servicos Industriais,Electronics SA,Sainte Aliceboeuf,84954,"56, boulevard de Jean",FR,9961821424415,01,6018,F,+48859729692,,,X,,MX,,,FABRE,,,Alphonse d,,,,,,,P001,02
600,0000001890,ZE01,"Parker, Williams and Garcia - Servicos Industriais","Parker, Williams and Garcia - Servicos Industriais",,RWXFMNXF7T,20200710,,,,,CA3971644566,,0010046990,9298,WP3RJ5WLRHP8I,,,,,,,,7780373,06616,6,0006898092,,"Parker, Williams and Garcia - Servi",Logistics Ltd.,West Elizabethchester,32841,706 Gonzalez Harbors,CA,7780373066166,01,3338,E,+13088894817,,,,,GB,Industria de Embalagens,,PARKERWILL,+16933570905,,,,,,,,,P004,01
700,0000001949,ZOTH,Macedo Torres S/A - Logistica,Macedo Torres S/A - Logistica,,ASNU713WASSH,20120531,,,70F7D7JZD7TMEZ1JS7S,,PT2222744544,,0010028031,7262,FPM34UE26,,,,,,,,6388463,55859,7,0004632331,XX,Macedo Torres S/A - Logistica,Distribution,Almada,024593,"Largo Ismael Barbosa, 144",PT,6388463558597,01,9077,P,+63943505773,,,,,DE,Eletroeletronico,,MACEDOTORR,+59152718019,,,,,1,,,,P002,02
600,0000001989,ZOTH,da Rosa Fernandes - ME - Servicos Industriais,da Rosa Fernandes - ME - Servicos Industriais,,0W7H503Q,20140328,,,14451045801340,,,,0010078657,4894,14451045801340  ,57736022127,J97AWN20RELP4T9U4G,,,,,,0321824,13042,6,0001169388,SP,da Rosa Fernandes - ME - Servicos I,Pharma LTDA,Melo do Sul,19557191,"Avenida Gomes, 330",BR,0321824130426,01,4010,P,+5535914834464,,,,,FR,,,DAROSAFERN,,X,,,,,,,,P003,01
812,0000002004,ZE02,Barbosa Moreira Lda. - Servicos Industriais,Barbosa Moreira Lda. - Servicos Industriais,,7UZKPV,20131216,,02EN,,,,,0010087235,7627,J1JGBP1HAG,,,,,1IKLL16AC5Y5PWPUX0IN,,,2972724,53097,4,0003834634,XX,Barbosa Moreira Lda. - Servicos Ind,Regional Hub,Ponta Delgada,98766,"Rua de Abreu, 2",PT,2972724530974,01,2663,P,+76811266105,+90183393285,,,,GB,Industria de Embalagens,,BARBOSAMOR,,,,,,,,,X,P001,01
700,0000002075,ZOTH,"Verga, Spinola e Ferrabosco Group - Logistica","Verga, Spinola e Ferrabosco Group - Logistica",,Q2H51,20150106,,,,,,,0010047828,2792,XKD9LPSPR,,GI83Z0F2J6R9EOAOGZ,,,,,X,1145151,28056,4,0008520431,LAZ,"Verga, Spinola e Ferrabosco Group -",Automotive S.p.A.,Casamazzagno,010351,"Contrada Pertini, 643 Piano 6",IT,1145151280564,02,0644,I,+36393984922,,,,,GB,Industria Metalurgica,,VERGASPINO,,,,,,1,,,,P003,01
200,0000002097,ZSVC,Moura - Componentes,Moura - Componentes,,IW19W3X0AT2,20240319,,,GK4FEAKTRBH,,,,0010009810,5114,88991713970182  ,39183260092,,,,,,,1446518,69663,5,0009293842,,Moura - Componentes,Industrial ME,Garcia,39033685,"Favela Oliveira, 96",BR,1446518696635,01,0462,P,+5523940395558,,,,,,,,MOURA,,,Isaque Rod,,,,,,,P004,02
400,0000002144,ZOTH,有限会社石井鉱業 - Materiais,有限会社石井鉱業 - Materiais,,TRQOKNCV5T,20241004,,,,,,,0010088294,1485,QLDOP3GH2PZ4,,,,,,,,4246906,01179,3,0005073129,XX,有限会社石井鉱業 - Materiais,Retail 株式会社,長生郡長南町,038249,509 伊藤 Street,JP,4246906011793,01,3732,J,+55334696508,,,,,DE,,,有限会社石井鉱業,,,,,407508,1,,,,P002,
100,0000002171,ZSVC,Mahe et Fils - Servicos Industriais,Mahe et Fils - Servicos Industriais,,ZBORQC,20150616,,,KLKJW0KMQG,,,,0010028476,5702,81MSS8BI9TY,,,,,,,,6916767,85624,0,0008533852,HDF,Mahe et Fils - Servicos Industriais,Maritime SA,Sainte Bertrand,19117,"35, chemin de Gomes",FR,6916767856240,02,5327,F,+50784307101,,,,,MX,,,MAHEETFILS,+90377290616,,,,,,,,,P003,01
700,0000002332,ZLIF,小林水産有限会社 - Materiais,小林水産有限会社 - Materiais,,AGY0RJQBU,20190316,,,,,JP1698078009,,0010073493,7073,GLI0CMH0,,,,,,,,8544257,30879,6,0007791406,XX,小林水産有限会社 - Materiais,Foods 株式会社,多摩市,20938,886 田中 Street,JP,8544257308796,01,7157,J,+62501771808,,,,,DE,,,小林水産有限会社,+52620499783,,,,001829,1,,,,P004,01
400,0000002352,ZIMP,Sparks-Chandler - Materiais,Sparks-Chandler - Materiais,,LSCYAFF7IC4S,20170817,,,,,US1840751884,,0010114423,7332,19-3587049,28851174815,,,,,,,5362925,73247,6,0004143471,,Sparks-Chandler - Materiais,Tech Inc.,West Christopherbury,60644,4768 Brian Trail Suite 817,US,5362925732476,02,,E,+17834524815,,,,,DE,,,SPARKSCHAN,,,,,,,,,,P001,02
200,0000002372,ZLIF,Carlier - Servicos Industriais,Carlier - Servicos Industriais,,BWO6A672C,20210115,,EKLV,J239U2B6H,,FR4704131308,,0010017817,7406,8MMRCOPNEX,32709880006,,,LJP9G2VWQ5ZAM22N12FW,,,,5466349,33715,0,0000067235,OCC,Carlier - Servicos Industriais,Maritime SA,Sainte Mathildeboeuf,48063,"92, rue Louis Auger",FR,5466349337150,01,,F,+44394327035,,,,,,,,CARLIER,,,,Importacao,,1,,,,P003,01
400,0000002375,ZSVC,Costa Carvalho S/A - Componentes,Costa Carvalho S/A - Componentes,,6PU74XIY6QA,20121022,,,28756095639783,,BR9145419836,,0010046768,9504,28756095639783  ,,,,,,,,5609972,60444,3,0005194054,RS,Costa Carvalho S/A - Componentes,Export,Porto da Serra,11184893,"Quadra Mariana Marques, 4",BR,5609972604443,02,4539,P,+5565946320751,,,,,BR,,,COSTACARVA,,,,,,,,,,P002,02
600,0000002387,ZLIF,Leão - Servicos Industriais,Leão - Servicos Industriais,,BPA26,20141102,,,72525845188535,,BR1556809773,0000627561,0010062418,5843,72525845188535  ,,,,,,,,8304067,40429,1,0000502110,SC,Leão - Servicos Industriais,Retail S.A.,Andrade do Amparo,86909109,"Chácara Moraes, 1",BR,8304067404291,01,3214,P,+5541927092154,+554126378886,,X,,DE,Logistica Integrada,,LEÃO,+554131145255,,,,,1,,,,P001,01
700,0000002446,ZE02,Marques Nascimento e Filhos - Servicos Industriais,Marques Nascimento e Filhos - Servicos Industriais,,J2C1VD1L,20210714,,,80044739056660,,BR6338236499,,0010081074,5375,80044739056660  ,,28S9OM0B0CESQT8BSH,,,,,,2231601,50927,8,0005316632,RS,Marques Nascimento e Filhos - Servi,Import,Rios de Minas,24399124,Fazenda Fernandes,BR,2231601509278,01,2202,P,+5574919339054,+557427935582,,,,DE,,,MARQUESNAS,+557433994297,,,,,1,,,,P002,02
300,0000002455,ZOTH,Compañía del Mediterráneo S.Com. - Materiais,Compañía del Mediterráneo S.Com. - Materiais,,4M3NFBN6CLP,20170303,,,Z7ZHS3GXL5DRY,,,,0010072923,2812,DZNX8G0NM,,,,,,,,6602441,80274,4,0002856244,CAT,Compañía del Mediterráneo S.Com. - ,Pharma S.A.,Granada,35525,Via de Gerónimo Pizarro 63,ES,6602441802744,02,3359,S,+35943551688,,,,,BR,Industria Metalurgica,,COMPAÑÍADE,,,,,,,,,,P004,01
200,0000002465,ZE01,Hutchinson Group - Logistica,Hutchinson Group - Logistica,,ZNLAGG,20250830,X,,,,US5945633506,,0010037095,6124,64-4311174,,,,,,,,6529859,61431,3,0000061061,CA,Hutchinson Group - Logistica,Systems Inc.,Wallland,93951,00008 Mccann Loop,US,6529859614313,02,7742,E,+14102437845,,,,,,,,HUTCHINSON,,,,Servicos Industriais,,,,,,P002,01
