CompanyCode,Plant,Material,FiscalYear,FiscalPeriod,TipoMaterial,TipoMaterialText,PlantName,ContaContabil,ContaContabilText,ProfitCenter,CompanyCodeCurrency,BaseUnit,EstoqueQuantidade,EstoqueValorTotal,PrecoUnitario_Oficial
FR01,P002,RM-002,2024,8,FERT,Produto Acabado,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-2000,GBP,KG,1911.296,871094.18,455.761
DE10,P002,SKU-STK-02,2023,10,FERT,Produto Acabado,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-3000,USD,TON,4543.818,4775834.43,1051.062
DE10,P002,RM-002,2025,2,HAWA,Mercadoria Revenda,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-2000,EUR,PC,1368.485,204046.59,149.104
BR01,P003,HALB-2010,2025,6,HAWA,Mercadoria Revenda,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-3000,EUR,L,892.096,1146912.52,1285.638
FR01,P002,HALB-2010,2024,10,ROH,Materia Prima,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-1000,BRL,L,3252.735,426901.95,131.244
FR01,P001,MAT-1003,2023,4,HALB,Semi-Acabado,Fabrica Matriz SP,130100,Estoque Prod. Acabado,PC-3000,GBP,L,525.981,464719.47,883.529
DE10,P002,HALB-2010,2024,6,HALB,Semi-Acabado,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,BRL,KG,123.791,178017.15,1438.046
DE10,P002,RM-003,2024,10,HALB,Semi-Acabado,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-1000,GBP,PC,4689.754,4031936.28,859.733
BR01,P003,RM-002,2025,7,HAWA,Mercadoria Revenda,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-1000,USD,L,117.844,146162.62,1240.306
FR01,P002,FERT-3001,2025,12,HALB,Semi-Acabado,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-3000,USD,KG,1413.357,1400406.41,990.837
DE10,P003,MAT-1004,2024,4,HAWA,Mercadoria Revenda,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-3000,USD,M,196.689,164137.76,834.504
UK01,P004,SKU-STK-02,2023,12,ROH,Materia Prima,Filial Norte,130100,Estoque Prod. Acabado,PC-3000,BRL,KG,1461.68,1132816.62,775.01
BR01,P003,RM-002,2025,11,FERT,Produto Acabado,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-3000,BRL,M,4961.954,6639382.25,1338.058
DE10,P001,MAT-1005,2024,11,FERT,Produto Acabado,Fabrica Matriz SP,130200,Estoque Matéria Prima,PC-1000,EUR,TON,3862.342,3839878.62,994.184
BR01,P002,SKU-STK-02,2025,11,ROH,Materia Prima,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-1000,EUR,KG,1212.443,228573.39,188.523
UK01,P002,SKU-STK-01,2025,4,HALB,Semi-Acabado,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,USD,L,990.209,464342.67,468.934
BR01,P002,MAT-1001,2025,12,HAWA,Mercadoria Revenda,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-1000,USD,L,1155.984,233594.31,202.074
BR01,P004,HALB-2010,2025,2,HAWA,Mercadoria Revenda,Filial Norte,130300,Estoque Merc. Revenda,PC-3000,GBP,KG,1006.881,1215472.51,1207.166
BR01,P002,SKU-STK-01,2024,7,HALB,Semi-Acabado,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-2000,USD,M,1993.915,907067.82,454.918
BR01,P003,SKU-STK-01,2024,11,HAWA,Mercadoria Revenda,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-1000,EUR,KG,134.049,111933.73,835.021
FR01,P003,SKU-STK-02,2025,6,ROH,Materia Prima,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-2000,EUR,TON,2984.252,4177564.85,1399.87
DE10,P004,MAT-1002,2023,5,HALB,Semi-Acabado,Filial Norte,130100,Estoque Prod. Acabado,PC-2000,GBP,TON,4148.849,4963027.43,1196.242
UK01,P004,HALB-2020,2024,2,HAWA,Mercadoria Revenda,Filial Norte,130300,Estoque Merc. Revenda,PC-2000,GBP,M,2068.732,1167602.68,564.405
UK01,P002,MAT-1004,2025,12,HALB,Semi-Acabado,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-1000,GBP,KG,1190.945,1334204.96,1120.291
UK01,P002,MAT-1003,2023,11,FERT,Produto Acabado,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,EUR,KG,4125.074,1934453.45,468.95
FR01,P001,MAT-1003,2023,3,HALB,Semi-Acabado,Fabrica Matriz SP,130100,Estoque Prod. Acabado,PC-1000,GBP,KG,586.295,21467.78,36.616
UK01,P002,FERT-3001,2024,9,HALB,Semi-Acabado,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,GBP,M,1974.216,948407.44,480.397
FR01,P003,MAT-1003,2024,12,FERT,Produto Acabado,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-2000,USD,KG,1191.357,450135.18,377.834
BR01,P001,RM-003,2023,5,HAWA,Mercadoria Revenda,Fabrica Matriz SP,130200,Estoque Matéria Prima,PC-3000,EUR,KG,517.343,647206.96,1251.021
DE10,P004,SKU-STK-01,2025,8,HAWA,Mercadoria Revenda,Filial Norte,130300,Estoque Merc. Revenda,PC-2000,EUR,TON,4898.058,5897403.88,1204.029
UK01,P003,HALB-2010,2024,10,HAWA,Mercadoria Revenda,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-2000,EUR,TON,2575.972,3315456.28,1287.07
FR01,P001,MAT-1003,2023,5,ROH,Materia Prima,Fabrica Matriz SP,130100,Estoque Prod. Acabado,PC-2000,EUR,PC,2394.608,1504412.48,628.25
FR01,P003,RM-001,2025,9,FERT,Produto Acabado,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-3000,GBP,L,3431.859,1540321.27,448.83
US10,P004,HALB-2010,2025,7,FERT,Produto Acabado,Filial Norte,130100,Estoque Prod. Acabado,PC-2000,GBP,TON,4244.317,4162053.65,980.618
DE10,P001,FERT-3002,2025,12,ROH,Materia Prima,Fabrica Matriz SP,130100,Estoque Prod. Acabado,PC-1000,GBP,TON,1019.999,1064596.42,1043.723
FR01,P003,FERT-3001,2023,12,HALB,Semi-Acabado,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-3000,BRL,M,431.621,606095.16,1404.23
BR01,P002,FERT-3002,2023,9,FERT,Produto Acabado,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-2000,BRL,KG,3977.623,5645480.1,1419.31
DE10,P003,MAT-1003,2024,9,ROH,Materia Prima,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-2000,EUR,TON,2829.104,2435247.46,860.784
UK01,P004,RM-003,2023,10,HALB,Semi-Acabado,Filial Norte,130300,Estoque Merc. Revenda,PC-1000,EUR,KG,3001.971,4194347.88,1397.198
FR01,P002,RM-002,2024,9,HALB,Semi-Acabado,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,GBP,TON,3873.864,3906756.98,1008.491
UK01,P003,RM-001,2023,2,HAWA,Mercadoria Revenda,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-3000,EUR,L,1579.056,379966.67,240.629
US10,P003,FERT-3001,2025,8,ROH,Materia Prima,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-2000,BRL,PC,2769.435,3889751.77,1404.529
US10,P003,FERT-3001,2025,11,ROH,Materia Prima,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-2000,BRL,KG,4756.461,866270.46,182.125
FR01,P002,FERT-3001,2025,6,ROH,Materia Prima,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-1000,GBP,L,71.39,48845.39,684.205
DE10,P002,MAT-1005,2023,5,ROH,Materia Prima,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,BRL,M,4593.025,5387779.08,1173.035
BR01,P003,HAWA-4001,2024,2,HAWA,Mercadoria Revenda,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-2000,EUR,KG,541.033,810825.6,1498.662
UK01,P003,MAT-1001,2025,10,HAWA,Mercadoria Revenda,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-1000,BRL,M,1211.732,265148.77,218.818
UK01,P002,MAT-1001,2024,12,HAWA,Mercadoria Revenda,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,GBP,PC,37.095,3050.28,82.229
BR01,P002,MAT-1001,2025,11,ROH,Materia Prima,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-3000,GBP,M,4006.81,5577695.89,1392.054
DE10,P002,MAT-1004,2025,7,FERT,Produto Acabado,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-2000,BRL,M,633.369,480900.61,759.274
BR01,P002,FERT-3002,2025,7,HAWA,Mercadoria Revenda,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-3000,EUR,TON,973.277,398833.34,409.784
DE10,P003,HALB-2020,2025,5,ROH,Materia Prima,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-1000,USD,KG,221.329,293658.87,1326.798
US10,P004,SKU-STK-02,2024,11,FERT,Produto Acabado,Filial Norte,130100,Estoque Prod. Acabado,PC-2000,USD,KG,2298.218,2705464.53,1177.201
US10,P001,MAT-1005,2024,6,HALB,Semi-Acabado,Fabrica Matriz SP,130300,Estoque Merc. Revenda,PC-3000,BRL,KG,2894.306,3042393.17,1051.165
UK01,P002,RM-002,2023,12,HALB,Semi-Acabado,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-1000,BRL,PC,2376.102,435373.17,183.23
BR01,P003,HALB-2020,2024,11,HAWA,Mercadoria Revenda,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-1000,GBP,L,3176.799,1971702.54,620.657
BR01,P003,MAT-1001,2023,2,HAWA,Mercadoria Revenda,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-2000,USD,L,2097.816,1497479.8,713.828
US10,P003,HALB-2020,2025,5,HALB,Semi-Acabado,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-2000,BRL,L,3265.641,1560127.33,477.74
DE10,P003,RM-001,2025,2,HALB,Semi-Acabado,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-3000,GBP,L,2568.569,2841800.53,1106.375
US10,P003,FERT-3002,2024,1,FERT,Produto Acabado,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-1000,BRL,KG,1579.109,1984761.57,1256.887
DE10,P004,MAT-1001,2023,9,HAWA,Mercadoria Revenda,Filial Norte,130300,Estoque Merc. Revenda,PC-1000,BRL,TON,1410.251,711505.48,504.524
FR01,P004,HAWA-4001,2023,3,FERT,Produto Acabado,Filial Norte,130100,Estoque Prod. Acabado,PC-2000,EUR,KG,4284.175,2405697.07,561.531
DE10,P003,SKU-STK-02,2023,10,HALB,Semi-Acabado,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-3000,BRL,TON,4977.368,5770247.79,1159.297
FR01,P004,HALB-2020,2024,6,HAWA,Mercadoria Revenda,Filial Norte,130200,Estoque Matéria Prima,PC-1000,EUR,KG,63.531,20173.7,317.541
UK01,P002,SKU-STK-02,2025,8,HAWA,Mercadoria Revenda,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-1000,EUR,L,2784.287,3506556.11,1259.409
DE10,P004,MAT-1002,2024,12,FERT,Produto Acabado,Filial Norte,130200,Estoque Matéria Prima,PC-1000,USD,KG,3779.098,2469640.54,653.5
BR01,P001,MAT-1001,2024,12,HAWA,Mercadoria Revenda,Fabrica Matriz SP,130300,Estoque Merc. Revenda,PC-2000,EUR,L,1171.933,517559.6,441.629
DE10,P001,MAT-1004,2024,5,FERT,Produto Acabado,Fabrica Matriz SP,130100,Estoque Prod. Acabado,PC-3000,GBP,TON,4219.506,4043109.55,958.195
UK01,P003,RM-001,2025,4,HALB,Semi-Acabado,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-2000,EUR,TON,2702.242,1380824.04,510.992
BR01,P003,RM-003,2025,5,FERT,Produto Acabado,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-2000,EUR,L,4548.666,4015334.91,882.75
FR01,P004,MAT-1002,2024,5,HALB,Semi-Acabado,Filial Norte,130200,Estoque Matéria Prima,PC-1000,BRL,PC,1998.777,2751156.64,1376.42
DE10,P002,MAT-1001,2023,2,FERT,Produto Acabado,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-2000,EUR,KG,4638.028,3130993.56,675.07
UK01,P002,FERT-3001,2024,11,ROH,Materia Prima,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-2000,GBP,TON,3172.511,4672474.2,1472.8
DE10,P003,FERT-3001,2025,1,HALB,Semi-Acabado,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-1000,EUR,TON,4816.424,5654953.79,1174.098
BR01,P004,HALB-2010,2025,2,HALB,Semi-Acabado,Filial Norte,130200,Estoque Matéria Prima,PC-1000,GBP,TON,3273.971,4763215.28,1454.874
DE10,P004,RM-001,2025,12,HALB,Semi-Acabado,Filial Norte,130300,Estoque Merc. Revenda,PC-2000,GBP,M,628.11,41590.93,66.216
FR01,P004,SKU-STK-02,2023,3,FERT,Produto Acabado,Filial Norte,130200,Estoque Matéria Prima,PC-2000,EUR,M,2063.764,2459088.31,1191.555
UK01,P002,HAWA-4001,2023,5,FERT,Produto Acabado,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-1000,GBP,TON,194.484,109336.96,562.19
US10,P004,FERT-3002,2025,5,HALB,Semi-Acabado,Filial Norte,130300,Estoque Merc. Revenda,PC-1000,GBP,PC,4328.628,4806724.96,1110.45
US10,P001,HAWA-4001,2025,7,ROH,Materia Prima,Fabrica Matriz SP,130200,Estoque Matéria Prima,PC-1000,GBP,L,32.456,25132.99,774.371
DE10,P003,FERT-3001,2024,10,HALB,Semi-Acabado,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-3000,GBP,PC,1195.915,1530661.18,1279.908
UK01,P003,RM-001,2023,9,FERT,Produto Acabado,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-1000,EUR,PC,1381.377,1837789.49,1330.404
FR01,P002,HAWA-4001,2024,7,FERT,Produto Acabado,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-1000,BRL,L,4993.729,2237495.21,448.061
DE10,P001,FERT-3001,2025,3,HAWA,Mercadoria Revenda,Fabrica Matriz SP,130300,Estoque Merc. Revenda,PC-2000,USD,KG,2980.112,1763010.42,591.592
US10,P001,MAT-1002,2024,12,ROH,Materia Prima,Fabrica Matriz SP,130200,Estoque Matéria Prima,PC-2000,GBP,PC,1017.875,31976.54,31.415
UK01,P002,SKU-STK-02,2023,5,HAWA,Mercadoria Revenda,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,USD,PC,3762.296,3060932.54,813.581
US10,P003,SKU-STK-01,2024,8,HAWA,Mercadoria Revenda,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-2000,BRL,PC,2652.415,2956819.41,1114.765
BR01,P004,MAT-1005,2023,1,FERT,Produto Acabado,Filial Norte,130100,Estoque Prod. Acabado,PC-2000,USD,TON,785.653,1030855.3,1312.1
DE10,P003,RM-002,2025,4,HALB,Semi-Acabado,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-3000,EUR,M,2386.524,3560882.34,1492.079
DE10,P002,MAT-1003,2024,4,FERT,Produto Acabado,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-3000,GBP,L,2815.232,442926.08,157.332
US10,P004,MAT-1001,2023,1,ROH,Materia Prima,Filial Norte,130200,Estoque Matéria Prima,PC-1000,EUR,KG,4799.275,763031.93,158.989
UK01,P004,RM-003,2023,8,FERT,Produto Acabado,Filial Norte,130200,Estoque Matéria Prima,PC-2000,GBP,KG,1569.724,127439.61,81.186
US10,P004,MAT-1004,2024,2,FERT,Produto Acabado,Filial Norte,130300,Estoque Merc. Revenda,PC-1000,USD,KG,1517.337,901628.96,594.218
BR01,P002,MAT-1001,2023,5,ROH,Materia Prima,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-2000,EUR,TON,2545.755,1875725.01,736.805
UK01,P002,MAT-1004,2024,11,HALB,Semi-Acabado,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-3000,USD,PC,1619.227,595085.35,367.512
UK01,P003,SKU-STK-01,2025,3,ROH,Materia Prima,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-1000,EUR,KG,252.361,175100.93,693.851
UK01,P002,SKU-STK-01,2023,2,ROH,Materia Prima,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-1000,EUR,TON,56.206,16105.32,286.541
DE10,P002,HALB-2010,2023,4,ROH,Materia Prima,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-3000,EUR,TON,2955.075,3767442.85,1274.906
US10,P002,FERT-3002,2025,7,HAWA,Mercadoria Revenda,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-2000,GBP,TON,4278.903,1647908.24,385.124
DE10,P004,RM-001,2025,2,ROH,Materia Prima,Filial Norte,130300,Estoque Merc. Revenda,PC-2000,USD,PC,4067.665,1956575.34,481.007
FR01,P003,MAT-1005,2024,5,HALB,Semi-Acabado,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-1000,EUR,KG,399.761,19829.34,49.603
BR01,P003,FERT-3001,2025,2,HAWA,Mercadoria Revenda,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-2000,BRL,KG,3695.516,1770684.32,479.144
BR01,P004,FERT-3001,2025,4,HALB,Semi-Acabado,Filial Norte,130100,Estoque Prod. Acabado,PC-1000,GBP,KG,872.99,666443.18,763.403
BR01,P003,HALB-2010,2025,5,HALB,Semi-Acabado,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-2000,BRL,TON,643.281,866156.64,1346.467
US10,P001,MAT-1001,2024,12,HALB,Semi-Acabado,Fabrica Matriz SP,130100,Estoque Prod. Acabado,PC-3000,BRL,KG,2976.892,1326678.71,445.659
FR01,P001,MAT-1004,2024,3,ROH,Materia Prima,Fabrica Matriz SP,130200,Estoque Matéria Prima,PC-2000,EUR,PC,4370.704,1679346.86,384.228
FR01,P004,FERT-3001,2025,2,HALB,Semi-Acabado,Filial Norte,130300,Estoque Merc. Revenda,PC-2000,GBP,L,2839.02,3233192.38,1138.841
UK01,P004,FERT-3002,2023,10,ROH,Materia Prima,Filial Norte,130100,Estoque Prod. Acabado,PC-3000,EUR,PC,2605.948,1602402.64,614.902
FR01,P001,MAT-1003,2023,12,FERT,Produto Acabado,Fabrica Matriz SP,130300,Estoque Merc. Revenda,PC-3000,GBP,M,4808.133,1306706.31,271.77
FR01,P001,RM-003,2024,5,FERT,Produto Acabado,Fabrica Matriz SP,130100,Estoque Prod. Acabado,PC-2000,BRL,TON,3670.14,4837820.73,1318.157
FR01,P003,FERT-3002,2025,9,HALB,Semi-Acabado,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-3000,GBP,TON,2853.97,460630.76,161.4
US10,P003,MAT-1004,2025,12,ROH,Materia Prima,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-2000,GBP,TON,3720.566,147312.09,39.594
DE10,P004,RM-001,2024,5,HALB,Semi-Acabado,Filial Norte,130300,Estoque Merc. Revenda,PC-2000,BRL,TON,1602.471,1466369.93,915.068
US10,P003,RM-003,2024,10,HALB,Semi-Acabado,Planta Exportacao SC,130300,Estoque Merc. Revenda,PC-1000,USD,KG,991.743,564225.4,568.923
BR01,P002,RM-001,2023,6,ROH,Materia Prima,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-3000,EUR,M,4774.943,1762799.13,369.177
BR01,P002,MAT-1004,2024,6,FERT,Produto Acabado,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-1000,BRL,KG,936.973,735906.09,785.408
UK01,P001,SKU-STK-02,2023,3,ROH,Materia Prima,Fabrica Matriz SP,130200,Estoque Matéria Prima,PC-1000,BRL,PC,3266.071,2435776.96,745.782
FR01,P002,SKU-STK-01,2025,5,FERT,Produto Acabado,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-3000,EUR,KG,4509.193,6659762.42,1476.93
UK01,P002,MAT-1005,2025,9,HAWA,Mercadoria Revenda,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-2000,USD,L,2768.962,415294.46,149.982
US10,P003,MAT-1004,2024,7,ROH,Materia Prima,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-3000,EUR,PC,809.957,1035643.42,1278.64
BR01,P004,RM-002,2023,8,HAWA,Mercadoria Revenda,Filial Norte,130200,Estoque Matéria Prima,PC-3000,USD,KG,3802.475,4409608.58,1159.668
FR01,P001,MAT-1002,2023,8,HALB,Semi-Acabado,Fabrica Matriz SP,130300,Estoque Merc. Revenda,PC-2000,BRL,L,1330.054,1689813.66,1270.485
FR01,P001,FERT-3001,2024,7,HAWA,Mercadoria Revenda,Fabrica Matriz SP,130100,Estoque Prod. Acabado,PC-2000,EUR,PC,4258.16,5588792.42,1312.49
BR01,P002,MAT-1003,2025,4,FERT,Produto Acabado,Centro Distribuicao RJ,130100,Estoque Prod. Acabado,PC-2000,USD,L,4700.695,6263878.22,1332.543
US10,P002,HALB-2010,2023,3,FERT,Produto Acabado,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,BRL,L,2178.47,439992.12,201.973
BR01,P004,MAT-1003,2023,11,ROH,Materia Prima,Filial Norte,130300,Estoque Merc. Revenda,PC-1000,USD,KG,2776.539,876100.79,315.537
UK01,P001,MAT-1005,2024,7,ROH,Materia Prima,Fabrica Matriz SP,130300,Estoque Merc. Revenda,PC-2000,EUR,KG,3044.565,2131792.23,700.196
UK01,P004,HAWA-4001,2023,10,ROH,Materia Prima,Filial Norte,130300,Estoque Merc. Revenda,PC-3000,EUR,PC,3710.657,2618963.16,705.795
BR01,P003,RM-001,2025,8,HAWA,Mercadoria Revenda,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-3000,GBP,PC,3974.341,3719784.46,935.95
DE10,P001,RM-002,2025,4,HALB,Semi-Acabado,Fabrica Matriz SP,130300,Estoque Merc. Revenda,PC-1000,GBP,KG,3198.678,27035.23,8.452
DE10,P002,MAT-1002,2024,2,HAWA,Mercadoria Revenda,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,EUR,PC,770.11,731807.04,950.263
BR01,P002,RM-002,2024,8,HALB,Semi-Acabado,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-3000,EUR,PC,3303.157,2977944.68,901.545
UK01,P003,FERT-3001,2024,4,ROH,Materia Prima,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-3000,EUR,TON,4231.578,275810.02,65.179
US10,P002,RM-003,2025,9,FERT,Produto Acabado,Centro Distribuicao RJ,130300,Estoque Merc. Revenda,PC-2000,EUR,TON,3303.379,1510331.31,457.208
FR01,P002,HALB-2010,2025,4,HAWA,Mercadoria Revenda,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-2000,BRL,TON,3601.715,2758398.64,765.857
UK01,P002,RM-002,2023,4,HALB,Semi-Acabado,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,BRL,TON,2205.85,425907.72,193.081
BR01,P003,MAT-1001,2025,12,FERT,Produto Acabado,Planta Exportacao SC,130200,Estoque Matéria Prima,PC-3000,GBP,PC,1639.469,493030.95,300.726
US10,P004,MAT-1002,2023,4,ROH,Materia Prima,Filial Norte,130300,Estoque Merc. Revenda,PC-3000,GBP,M,1383.011,293596.64,212.288
DE10,P003,HALB-2010,2024,9,HAWA,Mercadoria Revenda,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-1000,USD,TON,3509.942,5017879.77,1429.619
DE10,P001,SKU-STK-02,2023,7,HALB,Semi-Acabado,Fabrica Matriz SP,130100,Estoque Prod. Acabado,PC-2000,EUR,M,2004.384,2063942.27,1029.714
US10,P004,RM-002,2023,11,FERT,Produto Acabado,Filial Norte,130200,Estoque Matéria Prima,PC-2000,EUR,L,4680.328,5998809.16,1281.707
UK01,P002,RM-001,2025,4,HAWA,Mercadoria Revenda,Centro Distribuicao RJ,130200,Estoque Matéria Prima,PC-3000,GBP,M,1228.583,1682475.62,1369.444
FR01,P001,FERT-3002,2024,9,HAWA,Mercadoria Revenda,Fabrica Matriz SP,130300,Estoque Merc. Revenda,PC-1000,EUR,TON,3815.325,2760418.16,723.508
US10,P003,MAT-1004,2023,8,FERT,Produto Acabado,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-3000,USD,M,2933.947,1812956.27,617.924
BR01,P003,MAT-1001,2025,3,FERT,Produto Acabado,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-1000,EUR,TON,1687.289,2020155.69,1197.279
UK01,P003,RM-001,2023,1,ROH,Materia Prima,Planta Exportacao SC,130100,Estoque Prod. Acabado,PC-2000,USD,TON,4993.061,1462582.41,292.923
DE10,P004,SKU-STK-02,2025,3,FERT,Produto Acabado,Filial Norte,130300,Estoque Merc. Revenda,PC-1000,USD,M,357.507,75543.37,211.306
