ChartOfAccounts,GLAccount,GLAccountName,GLAccountGroup,GLAccountType,IsBalanceSheetAccount,ParentAccount
YCOA,520000,Custo de Servicos Prestados,EXP,P,,5
YCOA,522000,Custo Horas Tecnicas Outsourcing CO,EXP,P,,5
YCOA,530000,Custos Logísticos,EXP,P,,5
YCOA,535000,Garantias Tecnicas Warranty COGS,EXP,P,,5
YCOA,540000,Tributos Incidentes sobre Vendas,EXP,P,,5
YCOA,550000,Ajustes Inventario Baixa Impairment,EXP,P,,5
YCOA,560000,Seguros Produção Fabrica CO,EXP,P,,5
YCOA,610000,Despesas com Pessoal,EXP,P,,6
YCOA,612000,Beneficios Vale Refeicao Transporte,EXP,P,,6
YCOA,615000,Treinamento RH Desenvolvimento,EXP,P,,6
YCOA,617000,Plano Saude Assistencia Medica,EXP,P,,6
YCOA,618000,Previdência Complementar Boni,EXP,P,,6
YCOA,620000,Despesas Administrativas,EXP,P,,6
YCOA,622000,Seguros Corporativos Diversos,EXP,P,,6
YCOA,624000,Despesas com Viagens Corporativas Gerais,EXP,P,,6
YCOA,625000,Material Escritório Correspondências,EXP,P,,6
YCOA,626000,Manut Predial Facilities,EXP,P,,6
YCOA,630000,Despesas de TI,EXP,P,,6
YCOA,632000,Ciberseguranca e Observabilidade SaaS,EXP,P,,6
YCOA,634000,Data e Analytics Plataforma,EXP,P,,6
YCOA,640000,Despesas de Marketing,EXP,P,,6
YCOA,642000,Marketing Performance Partners,EXP,P,,6
YCOA,645000,Branding Sponsorship,EXP,P,,6
YCOA,650000,Despesas Comerciais,EXP,P,,6
YCOA,652000,POS Merchandising Trade Marketing,EXP,P,,6
YCOA,655000,Research Cliente VOC Programas,EXP,P,,6
YCOA,660000,Despesas Gerais com Terceiros,EXP,P,,6
YCOA,662000,Servicos Outsourcing SSC Financeiro RH,EXP,P,,6
YCOA,665000,Tax Consulting Transfer Pricing,EXP,P,,6
YCOA,668000,Seguros Credito Titulos Avalistas,EXP,P,,6
YCOA,670000,Depreciação Amortização Exaustão,EXP,P,,6
YCOA,675000,Arrendamentos IFRS CPC IFRS16,EXP,P,,6
YCOA,680000,Despesas Financeiras,EXP,N,,6
YCOA,685000,Resultado Monetario Fiscal Inflação,EXP,N,,6
YCOA,690000,Tributos Lucro LP IRPJ CSLL,EXP,N,,6
YCOA,692000,Contrib Social Lucro Liquido Parcelamentos,EXP,N,,6
YCOA,695000,Outras Receitas Despesas Nao Operacionais,EXP,N,,6
YCOA,110100,Caixa e Numerarios,BAL,X,X,110000
YCOA,110200,Bancos,BAL,X,X,110000
YCOA,110300,Aplicações Financeiras,BAL,X,X,110000
YCOA,120100,Clientes Nacionais,BAL,X,X,120000
YCOA,120200,Clientes Estrangeiros,BAL,X,X,120000
YCOA,120300,Intercompany a Receber,BAL,X,X,120000
YCOA,130100,Estoque de Matéria Prima,MAT,X,X,130000
YCOA,130200,Estoque de Produto Acabado,MAT,X,X,130000
YCOA,130300,Estoque de Mercadoria Revenda,MAT,X,X,130000
YCOA,160100,Terrenos e Edificios,BAL,X,X,160000
YCOA,160200,Maquinas e Equipamentos,BAL,X,X,160000
YCOA,160300,Veiculos,BAL,X,X,160000
YCOA,210100,Fornecedores Nacionais,BAL,X,X,210000
YCOA,210200,Fornecedores Estrangeiros,BAL,X,X,210000
YCOA,210300,Fornecedores Intercompany,BAL,X,X,210000
YCOA,220100,Salarios a Pagar,BAL,X,X,220000
YCOA,220200,Encargos e Beneficios,BAL,X,X,220000
YCOA,410100,Receita de Produtos,REV,P,,410000
YCOA,410200,Receita de Software,REV,P,,410000
YCOA,410300,Receita de Hardware,REV,P,,410000
YCOA,420100,Receita de Consultoria,REV,P,,420000
YCOA,420200,Receita de Suporte,REV,P,,420000
YCOA,510100,CPV Material Direto,MAT,P,,510000
YCOA,510200,CPV Mao de Obra Direta,EXP,P,,510000
YCOA,610100,Salarios e Prolabore,EXP,P,,610000
YCOA,610200,Ferias e 13 Salario,EXP,P,,610000
YCOA,630100,Infraestrutura TI,EXP,P,,630000
YCOA,630200,Softwares e Licenças,EXP,P,,630000
YCOA,640100,Publicidade e Midia,EXP,P,,640000
YCOA,640200,Eventos e Campanhas,EXP,P,,640000
YCOA,115110,Titulos publicos alta liquidez,BAL,X,X,115000
YCOA,115120,Fundos aplicacoes curto MM,BAL,X,X,115000
YCOA,118110,Numerario contingente e judicial,BAL,X,X,118000
YCOA,118120,Liquidos em transito,BAL,X,X,118000
YCOA,125110,Cartoes debito ecommerce,BAL,X,X,125000
YCOA,125120,Cartoes cred bandeiras B2B,BAL,X,X,125000
YCOA,135110,Estoque transito importacao,MAT,X,X,135000
YCOA,135120,Servico terceiro estoque 3PL,MAT,X,X,135000
YCOA,145110,PIS COFINS diferido corrente,BAL,X,X,145000
YCOA,145120,ICMS IPI diferido ativo circ,BAL,X,X,145000
YCOA,150110,Adiantamento fornecedor MP,BAL,X,X,150000
YCOA,150120,Adiantamento salarial e viagem,BAL,X,X,150000
YCOA,155110,IRRF CSLL compensacao judicial,BAL,X,X,155000
YCOA,155120,Creditos fiscais contestados,BAL,X,X,155000
YCOA,165110,Obras em curso imobilizado,BAL,X,X,165000
YCOA,165120,Imobilizado andamento import,BAL,X,X,165000
YCOA,175110,Participacao equivalente patrimonial,BAL,X,X,175000
YCOA,175120,Investimentos avaliados custo,BAL,X,X,175000
YCOA,180110,Garantias depositadas longo prazo,BAL,X,X,180000
YCOA,180120,Ativo indenizavel sinistro,BAL,X,X,180000
YCOA,215110,IRPJ CSLL diferido LP,BAL,X,X,215000
YCOA,215120,INSS FGTS diferidos,BAL,X,X,215000
YCOA,225110,Dividendos a pagar,BAL,X,X,225000
YCOA,225120,Lucros retidos distribuicao,BAL,X,X,225000
YCOA,235110,Debentures simples,BAL,X,X,235000
YCOA,235120,Commercial paper notas,BAL,X,X,235000
YCOA,245110,Obrigacoes rescisorias,BAL,X,X,245000
YCOA,245120,Obrigacoes pericia e acordos,BAL,X,X,245000
YCOA,260110,Provisao civil e ambiental,BAL,X,X,260000
YCOA,260120,Provisao trabalhista,BAL,X,X,260000
YCOA,270110,Passivo fiscal diferido LP,BAL,X,X,270000
YCOA,275110,Arrendamento financeiro LP,BAL,X,X,275000
YCOA,280110,Intercompany AP consolidacao,BAL,X,X,280000
YCOA,280120,Intercompany AR eliminacoes,BAL,X,X,280000
YCOA,315110,Ajuste avaliacao hedge PL,BAL,X,X,315000
YCOA,320110,Lucros retidos movimento,BAL,X,X,320000
YCOA,325110,Dividendo proposto PL,BAL,X,X,325000
YCOA,415110,Bundle produto servico,REV,P,,415000
YCOA,415120,Field service e instalacao,REV,P,,415000
YCOA,425110,Contrato SaaS multi ano,REV,P,,425000
YCOA,425120,Profissional services PS,REV,P,,425000
YCOA,435110,Equivalencia patrimonial,REV,N,,435000
YCOA,438110,Outras receitas operacionais,REV,P,,438000
YCOA,440110,Devolucoes vendas,REV,P,,440000
YCOA,440120,Descontos financeiros receita,REV,P,,440000
YCOA,450110,Incentivos fiscais,REV,N,,450000
YCOA,515110,CIP materiais alocados,MAT,P,,515000
YCOA,515120,CIP MOD terceirizada,EXP,P,,515000
YCOA,515130,CIP overhead fabrica,EXP,P,,515000
YCOA,522110,Outsourcing cloud CO,EXP,P,,522000
YCOA,535110,Garantia estendida COGS,EXP,P,,535000
YCOA,540110,Tributos sobre vendas,EXP,P,,540000
YCOA,550110,Perdas inventario,EXP,P,,550000
YCOA,560110,Seguros producao fabrica,EXP,P,,560000
YCOA,612110,Beneficios colaboradores,EXP,P,,612000
YCOA,615110,Universidade corporativa,EXP,P,,615000
YCOA,617110,Plano saude e odonto,EXP,P,,617000
YCOA,618110,Prev complementar e boni,EXP,P,,618000
YCOA,622110,Seguros corporativos,EXP,P,,622000
YCOA,624110,Viagens corporativas,EXP,P,,624000
YCOA,625110,Material escritorio,EXP,P,,625000
YCOA,626110,Facilities manutencao,EXP,P,,626000
YCOA,632110,Ciberseguranca,EXP,P,,632000
YCOA,634110,Data e analytics,EXP,P,,634000
YCOA,642110,Performance marketing,EXP,P,,642000
YCOA,645110,Branding e patrocinio,EXP,P,,645000
YCOA,652110,Trade e PDV,EXP,P,,652000
YCOA,655110,Pesquisa cliente,EXP,P,,655000
YCOA,662110,SSC terceiro,EXP,P,,662000
YCOA,665110,Consultoria tributaria TP,EXP,P,,665000
YCOA,668110,Seguros credito,EXP,P,,668000
YCOA,670110,Depreciacao e amortizacao,EXP,P,,670000
YCOA,675110,Arrendamento IFRS16,EXP,P,,675000
YCOA,680110,Despesas financeiras,EXP,N,,680000
YCOA,685110,Resultado monetario,EXP,N,,685000
YCOA,690110,IRPJ e CSLL exercicio,EXP,N,,690000
YCOA,692110,Parcelamentos e multas,EXP,N,,692000
YCOA,695110,Outras nao operacionais,EXP,N,,695000
YCOA,110101,Caixa Matriz,BAL,X,X,110100
YCOA,110102,Caixa Filial,BAL,X,X,110100
YCOA,110201,Banco do Brasil Conta Corrente,BAL,X,X,110200
YCOA,110202,Itau Conta Corrente,BAL,X,X,110200
YCOA,110203,Santander Conta Corrente,BAL,X,X,110200
YCOA,110204,Bradesco PJ Conta Operacional,BAL,X,X,110200
YCOA,110205,C6 Bank Liquidez D0,BAL,X,X,110200
YCOA,110206,Exterior JP Morgan Cash US,BAL,X,X,110200
YCOA,110103,Caixa PDV Marketplace,BAL,X,X,110100
YCOA,110104,Numerario Custodia Overnight,BAL,X,X,110100
YCOA,110301,Aplicacao CDB Curto Prazo,BAL,X,X,110300
YCOA,110302,Aplicacao Fundo DI,BAL,X,X,110300
YCOA,110303,CRI CRA Liquida D1 Custodia,BAL,X,X,110300
YCOA,120101,Clientes Varejo Nacional,BAL,X,X,120100
YCOA,120102,Clientes Atacado Nacional,BAL,X,X,120100
YCOA,120103,Clientes Governo e Eletivas,BAL,X,X,120100
YCOA,120104,Clientes Ecommerce Omnichannel,BAL,X,X,120100
YCOA,120201,Clientes Americas,BAL,X,X,120200
YCOA,120202,Clientes Europa,BAL,X,X,120200
YCOA,120301,Intercompany BR01,BAL,X,X,120300
YCOA,120302,Intercompany US10,BAL,X,X,120300
YCOA,130101,Aco e Ligas Metálicas,MAT,X,X,130100
YCOA,130102,Resinas e Polimeros,MAT,X,X,130100
YCOA,130201,Produtos Acabados Linha A,MAT,X,X,130200
YCOA,130202,Produtos Acabados Linha B,MAT,X,X,130200
YCOA,130301,Mercadorias Revenda Nacional,MAT,X,X,130300
YCOA,130302,Mercadorias Revenda Importada,MAT,X,X,130300
YCOA,140101,ICMS a Recuperar,BAL,X,X,140000
YCOA,140102,PIS COFINS a Recuperar,BAL,X,X,140000
YCOA,160101,Terrenos Industriais,BAL,X,X,160100
YCOA,160102,Edificios Administrativos,BAL,X,X,160100
YCOA,160201,Servidores e Storage,BAL,X,X,160200
YCOA,160202,Máquinas Produção,BAL,X,X,160200
YCOA,160301,Frota Comercial,BAL,X,X,160300
YCOA,160302,Frota Logistica,BAL,X,X,160300
YCOA,170101,Software ERP,BAL,X,X,170000
YCOA,170102,Licenças Industriais,BAL,X,X,170000
YCOA,170103,Goodwill Consolidacao CPC,BAL,X,X,170000
YCOA,170104,Software Capitalizado Agil Cust Dev,BAL,X,X,170000
YCOA,210101,Fornecedores Nacionais MP,BAL,X,X,210100
YCOA,210102,Fornecedores Nacionais Serviços,BAL,X,X,210100
YCOA,210201,Fornecedores Estrangeiros USD,BAL,X,X,210200
YCOA,210202,Fornecedores Estrangeiros EUR,BAL,X,X,210200
YCOA,210301,Intercompany DE10,BAL,X,X,210300
YCOA,210302,Intercompany FR01,BAL,X,X,210300
YCOA,220101,Salarios Diretoria,BAL,X,X,220100
YCOA,220102,Salarios Administrativo,BAL,X,X,220100
YCOA,220103,Salarios Operacional,BAL,X,X,220100
YCOA,220201,Ferias a Pagar,BAL,X,X,220200
YCOA,220202,13 Salario a Pagar,BAL,X,X,220200
YCOA,230101,Emprestimo Bancario Capital Giro,BAL,X,X,230000
YCOA,230102,Financiamento BNDES,BAL,X,X,230000
YCOA,240101,ICMS a Recolher,BAL,X,X,240000
YCOA,240102,ISS a Recolher,BAL,X,X,240000
YCOA,250101,Receita Diferida de Contratos,BAL,X,X,250000
YCOA,310101,Capital Social Integralizado,BAL,X,X,310000
YCOA,310102,Reserva Legal,BAL,X,X,310000
YCOA,410101,Receita Produto Linha Software,REV,P,,410100
YCOA,410102,Receita Produto Linha Hardware,REV,P,,410100
YCOA,410201,Receita Software SaaS,REV,P,,410200
YCOA,410202,Receita Licenciamento Perpetuo,REV,P,,410200
YCOA,410301,Receita Hardware Nacional,REV,P,,410300
YCOA,410302,Receita Hardware Importado,REV,P,,410300
YCOA,420101,Receita Consultoria Implementação,REV,P,,420100
YCOA,420102,Receita Consultoria Treinamento,REV,P,,420100
YCOA,420201,Receita Suporte Mensal,REV,P,,420200
YCOA,420202,Receita Suporte Premium,REV,P,,420200
YCOA,430101,Rendimentos Aplicações Financeiras,REV,N,,430000
YCOA,430102,Variação Cambial Ativa,REV,N,,430000
YCOA,510101,Consumo Matéria Prima Nacional,MAT,P,,510100
YCOA,510102,Consumo Matéria Prima Importada,MAT,P,,510100
YCOA,510201,Mao de Obra Produção,EXP,P,,510200
YCOA,510202,Encargos Produção,EXP,P,,510200
YCOA,520101,Custo Consultoria Alocada,EXP,P,,520000
YCOA,520102,Custo Suporte Técnico,EXP,P,,520000
YCOA,530101,Frete sobre Entregas,EXP,P,,530000
YCOA,530102,Armazenagem e Movimentação,EXP,P,,530000
YCOA,610101,Salarios Diretoria,EXP,P,,610100
YCOA,610102,Salarios Administrativo,EXP,P,,610100
YCOA,610103,Salarios Operacional,EXP,P,,610100
YCOA,610201,Provisao Ferias,EXP,P,,610200
YCOA,610202,Provisao 13 Salario,EXP,P,,610200
YCOA,620101,Aluguel Escritório,EXP,P,,620000
YCOA,620102,Condominio e IPTU,EXP,P,,620000
YCOA,620103,Energia Eletrica,EXP,P,,620000
YCOA,630101,Hospedagem em Nuvem,EXP,P,,630100
YCOA,630102,Infraestrutura Datacenter,EXP,P,,630100
YCOA,630201,Licenças ERP,EXP,P,,630200
YCOA,630202,Licenças BI e Analytics,EXP,P,,630200
YCOA,640101,Mídia Digital,EXP,P,,640100
YCOA,640102,Mídia Offline,EXP,P,,640100
YCOA,640201,Eventos Corporativos,EXP,P,,640200
YCOA,640202,Campanhas Promocionais,EXP,P,,640200
YCOA,650101,Comissões de Vendas,EXP,P,,650000
YCOA,650102,Viagens Comerciais,EXP,P,,650000
YCOA,660101,Serviços Jurídicos,EXP,P,,660000
YCOA,660102,Serviços Auditoria,EXP,P,,660000
YCOA,660103,Serviços Consultoria Externa,EXP,P,,660000
YCOA,115111,LTN serie F referenciado,BAL,X,X,115110
YCOA,115112,LTN serie B,BAL,X,X,115110
YCOA,115113,LFT pre,BAL,X,X,115110
YCOA,115114,Debent incentivada ICC,BAL,X,X,115110
YCOA,115115,Titulo privado corp,BAL,X,X,115110
YCOA,115116,Cupom caucao,BAL,X,X,115110
YCOA,115121,Fundo RF DI,BAL,X,X,115120
YCOA,115122,FIDC alta liquidez,BAL,X,X,115120
YCOA,115123,Tesouro Selic,BAL,X,X,115120
YCOA,115124,cra CPR curto,BAL,X,X,115120
YCOA,115125,Acoes classe liquidez,BAL,X,X,115120
YCOA,115126,Depositos overnight,BAL,X,X,115120
YCOA,118111,Bloqueio judicial conta,BAL,X,X,118110
YCOA,118112,Custodia garantia,BAL,X,X,118110
YCOA,118113,credito autorizado bacen,BAL,X,X,118110
YCOA,118114,restricao AML,BAL,X,X,118110
YCOA,118115,saldo sub judice,BAL,X,X,118110
YCOA,118116,deposito caucao cliente,BAL,X,X,118110
YCOA,118121,TEC D0 TED agendadas,BAL,X,X,118120
YCOA,118122,antecipacao recebivel,BAL,X,X,118120
YCOA,118123,pix liquido,BAL,X,X,118120
YCOA,118124,margem conta investimento,BAL,X,X,118120
YCOA,118125,recebivel marketplace,BAL,X,X,118120
YCOA,118126,clearing pendente settlement,BAL,X,X,118120
YCOA,125111,Rede Mastercard D1,BAL,X,X,125110
YCOA,125112,cielo visa D2,BAL,X,X,125110
YCOA,125113,stripe USD receber,BAL,X,X,125110
YCOA,125114,paypal split,BAL,X,X,125110
YCOA,125115,antecipação cartão bandeira,BAL,X,X,125110
YCOA,125116,débito recorrente,BAL,X,X,125110
YCOA,125121,Amex corporate,BAL,X,X,125120
YCOA,125122,Elo maquineta,BAL,X,X,125120
YCOA,125123,hiper cred maquina,BAL,X,X,125120
YCOA,125124,POS filial nordeste,BAL,X,X,125120
YCOA,125125,chargeback estimado,BAL,X,X,125120
YCOA,125126,taxa intercambio ajuste,BAL,X,X,125120
YCOA,135111,AWB embarque aéreo,MAT,X,X,135110
YCOA,135112,BL maritimo desembaraco,MAT,X,X,135110
YCOA,135113,desalfandegamento pendente,MAT,X,X,135110
YCOA,135114,consignacao terceiro,MAT,X,X,135110
YCOA,135115,cross dock armazem,MAT,X,X,135110
YCOA,135116,ajuste qualidade recebimento,MAT,X,X,135110
YCOA,135121,WMS fulfillment Amazon,MAT,X,X,135120
YCOA,135122,fulfillment magalu,MAT,X,X,135120
YCOA,135123,consignado parceiro,MAT,X,X,135120
YCOA,135124,kitting montagem,MAT,X,X,135120
YCOA,135125,devolucao marketplace,MAT,X,X,135120
YCOA,135126,perda transportador,MAT,X,X,135120
YCOA,145111,PIS monofasico credito,BAL,X,X,145110
YCOA,145112,COFINS nao cumulativo,BAL,X,X,145110
YCOA,145113,ajuste escrituracao PIS,BAL,X,X,145110
YCOA,145114,ajuste escrituracao COFINS,BAL,X,X,145110
YCOA,145115,compensacao SPED,BAL,X,X,145110
YCOA,145116,perdcomp parcial,BAL,X,X,145110
YCOA,145121,ICMS ST credito,BAL,X,X,145120
YCOA,145122,IPI nao aproveitado,BAL,X,X,145120
YCOA,145123,FCP credito,BAL,X,X,145120
YCOA,145124,DIFAL credito,BAL,X,X,145120
YCOA,145125,ajuste apuracao ICMS,BAL,X,X,145120
YCOA,145126,ajuste benef fiscal,BAL,X,X,145120
YCOA,150111,Adto importacao L/C,BAL,X,X,150110
YCOA,150112,Adto nacional contrato,BAL,X,X,150110
YCOA,150113,Adto servico engenharia,BAL,X,X,150110
YCOA,150114,Adto marketing evento,BAL,X,X,150110
YCOA,150115,Adto utilidades publicas,BAL,X,X,150110
YCOA,150116,Adto seguro patrimonio,BAL,X,X,150110
YCOA,150121,Adto viagem internacional,BAL,X,X,150120
YCOA,150122,Adto representante,BAL,X,X,150120
YCOA,150123,Adto diretoria,BAL,X,X,150120
YCOA,150124,Adto convenio hotel,BAL,X,X,150120
YCOA,150125,Adto cartao corporativo,BAL,X,X,150120
YCOA,150126,Adto evento feira,BAL,X,X,150120
YCOA,155111,Compensacao ano base N-1,BAL,X,X,155110
YCOA,155112,Compensacao ano base N-2,BAL,X,X,155110
YCOA,155113,Deposito judicial IR,BAL,X,X,155110
YCOA,155114,Deposito judicial CSLL,BAL,X,X,155110
YCOA,155115,Multa autuacao compensada,BAL,X,X,155110
YCOA,155116,Juros mora compensados,BAL,X,X,155110
YCOA,155121,Malha fina SPED,BAL,X,X,155120
YCOA,155122,Processo administrativo CARF,BAL,X,X,155120
YCOA,155123,acordo confissoes,BAL,X,X,155120
YCOA,155124,perdcomp definitivo,BAL,X,X,155120
YCOA,155125,ressarcimento PIS credito,BAL,X,X,155120
YCOA,155126,ressarcimento COFINS credito,BAL,X,X,155120
YCOA,165111,Expansao planta SP,BAL,X,X,165110
YCOA,165112,automacao linha 3,BAL,X,X,165110
YCOA,165113,retrofit maquinas,BAL,X,X,165110
YCOA,165114,civil armazem RJ,BAL,X,X,165110
YCOA,165115,projeto lean fabrica,BAL,X,X,165110
YCOA,165116,CAPEX TI edge datacenter,BAL,X,X,165110
YCOA,165121,MAQ import desembaraco,BAL,X,X,165120
YCOA,165122,container capitalizado,BAL,X,X,165120
YCOA,165123,frete internacional capitalizado,BAL,X,X,165120
YCOA,165124,seguro import capitalizado,BAL,X,X,165120
YCOA,165125,MOI capitalizada obra,BAL,X,X,165120
YCOA,165126,teste aceitacao fornecedor,BAL,X,X,165120
YCOA,175111,Participacao Sub Software US,BAL,X,X,175110
YCOA,175112,Participacao JV fabrica MX,BAL,X,X,175110
YCOA,175113,Participacao startup sensor,BAL,X,X,175110
YCOA,175114,Participacao hub logistica,BAL,X,X,175110
YCOA,175115,Participacao fintech pagamentos,BAL,X,X,175110
YCOA,175116,ajuste equity pickup,BAL,X,X,175110
YCOA,175121,Debentures outra empresa,BAL,X,X,175120
YCOA,175122,Nota comercial terceiro,BAL,X,X,175120
YCOA,175123,cria fundo multimercado,BAL,X,X,175120
YCOA,175124,FIDC recebiveis,BAL,X,X,175120
YCOA,175125,Letra financeira,BAL,X,X,175120
YCOA,175126,ajuste impairment participacao,BAL,X,X,175120
YCOA,180111,Caução locacao armazem,BAL,X,X,180110
YCOA,180112,Garantia contratual ANP,BAL,X,X,180110
YCOA,180113,Garantia licitacao governo,BAL,X,X,180110
YCOA,180114,fgts construtora reserva,BAL,X,X,180110
YCOA,180115,Seguro garantia performance,BAL,X,X,180110
YCOA,180116,Deposito judicial civil,BAL,X,X,180110
YCOA,180121,Recebivel seguradora incendio,BAL,X,X,180120
YCOA,180122,Recebivel sinistro transporte,BAL,X,X,180120
YCOA,180123,Recebivel recall produto,BAL,X,X,180120
YCOA,180124,Desconto titulo cartorio,BAL,X,X,180120
YCOA,180125,Creditos precatorios,BAL,X,X,180120
YCOA,180126,ativos nao operacionais venda,BAL,X,X,180120
YCOA,215111,IRPJ temporario diferido,BAL,X,X,215110
YCOA,215112,CSLL temporario diferido,BAL,X,X,215110
YCOA,215113,Adicional IRPJ diferido,BAL,X,X,215110
YCOA,215114,Base negativa futura,BAL,X,X,215110
YCOA,215115,ajuste IFRS x BR,BAL,X,X,215110
YCOA,215116,perda fiscal arrastada,BAL,X,X,215110
YCOA,215121,INSS terceiros LP,BAL,X,X,215120
YCOA,215122,FGTS rescisao futura,BAL,X,X,215120
YCOA,215123,Contribuicao sindical LP,BAL,X,X,215120
YCOA,215124,encargo convenio coletivo,BAL,X,X,215120
YCOA,215125,multa rescisoria provisionada,BAL,X,X,215120
YCOA,215126,honorarios pericia trabalhista,BAL,X,X,215120
YCOA,225111,Dividendo minimo obrigatorio,BAL,X,X,225110
YCOA,225112,Dividendo intercalario,BAL,X,X,225110
YCOA,225113,Dividendo JCP misto,BAL,X,X,225110
YCOA,225114,Dividendo preferencial,BAL,X,X,225110
YCOA,225115,Dividendo treasury stock,BAL,X,X,225110
YCOA,225116,ajuste conversao moeda,BAL,X,X,225110
YCOA,225121,JCP provisionado assembleia,BAL,X,X,225120
YCOA,225122,Reserva dividendos futuros,BAL,X,X,225120
YCOA,225123,Conta transitoria SH,BAL,X,X,225120
YCOA,225124,ajuste retencao exterior,BAL,X,X,225120
YCOA,225125,ajuste consorcio,BAL,X,X,225120
YCOA,225126,ajuste participacao minoritaria,BAL,X,X,225120
YCOA,235111,Debenture serie A IPCA,BAL,X,X,235110
YCOA,235112,Debenture serie B CDI,BAL,X,X,235110
YCOA,235113,Debenture conversivel,BAL,X,X,235110
YCOA,235114,Debenture incentivada infra,BAL,X,X,235110
YCOA,235115,pu debenture ajuste,BAL,X,X,235110
YCOA,235116,comissao colocacao debenture,BAL,X,X,235110
YCOA,235121,CP classe 1 270 dias,BAL,X,X,235120
YCOA,235122,CP classe 2 360 dias,BAL,X,X,235120
YCOA,235123,Nota promissoria exportacao,BAL,X,X,235120
YCOA,235124,ACC desconto banco,BAL,X,X,235120
YCOA,235125,Desagio antecipacao,BAL,X,X,235120
YCOA,235126,IOF financiamento curto,BAL,X,X,235120
YCOA,245111,INSS rescisao complementar,BAL,X,X,245110
YCOA,245112,FGTS multa 40,BAL,X,X,245110
YCOA,245113,FGTS multa 20,BAL,X,X,245110
YCOA,245114,ferias vencidas rescisao,BAL,X,X,245110
YCOA,245115,13 rescisao proporcional,BAL,X,X,245110
YCOA,245116,aviso previo indenizado,BAL,X,X,245110
YCOA,245121,Acordo sindicato metal,BAL,X,X,245120
YCOA,245122,Acordo carf fiscal,BAL,X,X,245120
YCOA,245123,Acordo consumidor civil,BAL,X,X,245120
YCOA,245124,Multa ambiental parcelada,BAL,X,X,245120
YCOA,245125,Multa ANP,BAL,X,X,245120
YCOA,245126,Multa CVM,BAL,X,X,245120
