CompanyCode,Plant,Material,FiscalYear,FiscalPeriod,TipoMaterial,TipoMaterialText,PlantName,ContaContabil,ContaContabilText,ProfitCenter,CompanyCodeCurrency,BaseUnit,QtdBruta,ValorTotalCalculado,PrecoUnitarioBruto
FR01,P003,MAT-1004,2024,12,HALB,Produto Semi-Acabado,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-2000,USD,KG,1184.488,1477871.46,1247.688
BR01,P001,RM-023,2023,5,HAWA,Mercadoria de Revenda,Fabrica Matriz SP,510100,Custo de Mercadoria Vendida (CMV),PC-3000,EUR,KG,509.258,2122311.84,4167.459
DE10,P004,MP-ALPHA,2025,8,HAWA,Mercadoria de Revenda,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-2000,EUR,TON,4897.874,19642076.34,4010.327
UK01,P003,RM-045,2024,10,HAWA,Mercadoria de Revenda,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-2000,EUR,TON,2571.6,11027028.51,4288.003
FR01,P001,MAT-1003,2023,5,ROH,Materia Prima,Fabrica Matriz SP,130100,Conta de Estoque Materiais,PC-2000,EUR,PC,2389.908,4983029.88,2085.03
FR01,P003,MAT-1020,2025,9,HALB,Produto Semi-Acabado,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-3000,GBP,L,3429.031,5092402.5,1485.085
US10,P004,RM-045,2025,7,HALB,Produto Semi-Acabado,Centro Distribuicao US,130100,Conta de Estoque Materiais,PC-2000,GBP,TON,4242.954,13845963.9,3263.284
DE10,P001,FERT-3002,2025,12,ROH,Materia Prima,Fabrica Matriz SP,130100,Conta de Estoque Materiais,PC-1000,GBP,TON,1012.821,3518839.95,3474.296
FR01,P003,FERT-3002,2023,12,FERT,Produto Acabado,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-3000,BRL,M,423.382,1981327.42,4679.763
BR01,P002,FERT-3003,2023,9,HALB,Produto Semi-Acabado,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-2000,BRL,KG,3975.779,18806186.09,4730.189
DE10,P003,MAT-1004,2024,9,ROH,Materia Prima,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-2000,EUR,TON,2825.188,8087326.67,2862.58
UK01,P004,RM-023,2023,10,FERT,Produto Acabado,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-1000,EUR,KG,2998.368,13961151.0,4656.25
FR01,P002,RM-005,2024,9,FERT,Produto Acabado,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,GBP,TON,3871.833,12995753.26,3356.486
UK01,P003,MAT-1020,2023,2,HAWA,Mercadoria de Revenda,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-3000,EUR,L,1572.885,1240850.55,788.901
US10,P003,FERT-3002,2025,8,ROH,Materia Prima,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-2000,BRL,PC,2765.412,12944240.93,4680.764
US10,P003,FERT-3002,2025,11,ROH,Materia Prima,Fabrica Berlim,510110,Consumo de Materia Prima,PC-2000,BRL,KG,4756.022,2821624.2,593.274
FR01,P002,FERT-3001,2025,6,ROH,Materia Prima,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-1000,GBP,L,62.501,142010.71,2272.135
DE10,P002,MAT-1015,2023,5,ROH,Materia Prima,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,BRL,M,4592.291,17940652.73,3906.689
BR01,P003,HAWA-4001,2024,2,HAWA,Mercadoria de Revenda,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-2000,EUR,KG,532.991,2662569.87,4995.525
UK01,P003,MAT-1001,2025,10,HAWA,Mercadoria de Revenda,Fabrica Berlim,510110,Consumo de Materia Prima,PC-1000,BRL,M,1204.899,862666.72,715.966
UK01,P002,MAT-1001,2024,12,HAWA,Mercadoria de Revenda,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,GBP,PC,28.144,7295.99,259.238
BR01,P002,MAT-1002,2025,11,ROH,Materia Prima,Filial RJ,510110,Consumo de Materia Prima,PC-3000,GBP,M,4005.018,18579474.75,4639.049
DE10,P002,MAT-1005,2025,7,HALB,Produto Semi-Acabado,Filial RJ,130100,Conta de Estoque Materiais,PC-2000,BRL,M,625.493,1578212.66,2523.15
BR01,P002,FERT-3002,2025,7,HAWA,Mercadoria de Revenda,Filial RJ,130100,Conta de Estoque Materiais,PC-3000,EUR,TON,966.014,1308488.18,1354.523
DE10,P003,HALB-2001,2025,5,ROH,Materia Prima,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-1000,USD,KG,212.71,940357.73,4420.844
US10,P004,SKU-8891,2024,11,HALB,Produto Semi-Acabado,Centro Distribuicao US,130100,Conta de Estoque Materiais,PC-2000,USD,KG,2293.345,8991336.57,3920.621
US10,P001,MAT-1015,2024,6,FERT,Produto Acabado,Fabrica Matriz SP,510110,Consumo de Materia Prima,PC-3000,BRL,KG,2890.508,10114407.78,3499.18
UK01,P002,RM-005,2023,12,FERT,Produto Acabado,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-1000,BRL,PC,2371.369,1415631.41,596.968
BR01,P003,HALB-2001,2024,11,HAWA,Mercadoria de Revenda,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-1000,GBP,L,3173.511,6536299.72,2059.643
BR01,P003,MAT-1001,2023,2,HAWA,Mercadoria de Revenda,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-2000,USD,L,2092.582,4961907.42,2371.189
US10,P003,HALB-2002,2025,5,FERT,Produto Acabado,Fabrica Berlim,510110,Consumo de Materia Prima,PC-2000,BRL,L,3262.513,5160496.25,1581.755
DE10,P003,MAT-1020,2025,2,FERT,Produto Acabado,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-3000,GBP,L,2564.183,9445916.82,3683.792
US10,P003,FERT-3003,2024,1,HALB,Produto Semi-Acabado,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-1000,BRL,KG,1572.939,6586011.99,4187.074
DE10,P004,MAT-1002,2023,9,HAWA,Mercadoria de Revenda,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-1000,BRL,TON,1403.777,2346154.96,1671.316
FR01,P004,HAWA-4001,2023,3,HALB,Produto Semi-Acabado,Centro Distribuicao US,130100,Conta de Estoque Materiais,PC-2000,EUR,KG,4282.884,7974455.9,1861.936
DE10,P003,SKU-8891,2023,10,FERT,Produto Acabado,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-3000,BRL,TON,4977.327,19216225.17,3860.752
FR01,P004,HALB-2002,2024,6,HAWA,Mercadoria de Revenda,Centro Distribuicao US,510100,Custo de Mercadoria Vendida (CMV),PC-1000,EUR,KG,54.627,57144.16,1046.079
UK01,P002,SKU-8891,2025,8,HAWA,Mercadoria de Revenda,Filial RJ,510110,Consumo de Materia Prima,PC-1000,EUR,L,2780.291,11664738.69,4195.51
DE10,P004,MAT-1002,2024,12,HALB,Produto Semi-Acabado,Centro Distribuicao US,510100,Custo de Mercadoria Vendida (CMV),PC-1000,USD,KG,3776.896,8193828.57,2169.461
BR01,P001,MAT-1001,2024,12,HAWA,Mercadoria de Revenda,Fabrica Matriz SP,510110,Consumo de Materia Prima,PC-2000,EUR,L,1165.029,1702113.19,1461.005
DE10,P001,MAT-1010,2024,5,HALB,Produto Semi-Acabado,Fabrica Matriz SP,130100,Conta de Estoque Materiais,PC-3000,GBP,TON,4218.098,13448587.16,3188.306
UK01,P003,MAT-1020,2025,4,FERT,Produto Acabado,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-2000,EUR,TON,2698.098,4567728.82,1692.944
BR01,P003,RM-023,2025,5,HALB,Produto Semi-Acabado,Fabrica Berlim,510110,Consumo de Materia Prima,PC-2000,EUR,L,4547.852,13352643.55,2936.033
FR01,P004,MAT-1003,2024,5,FERT,Produto Acabado,Centro Distribuicao US,510100,Custo de Mercadoria Vendida (CMV),PC-1000,BRL,PC,1993.364,9143104.19,4586.771
DE10,P002,MAT-1001,2023,2,HALB,Produto Semi-Acabado,Filial RJ,130100,Conta de Estoque Materiais,PC-2000,EUR,KG,4637.375,10395084.15,2241.588
UK01,P002,FERT-3001,2024,11,ROH,Materia Prima,Filial RJ,130100,Conta de Estoque Materiais,PC-2000,GBP,TON,3169.215,15557828.56,4909.048
DE10,P003,FERT-3002,2025,1,FERT,Produto Acabado,Fabrica Berlim,510110,Consumo de Materia Prima,PC-1000,EUR,TON,4816.093,18832098.76,3910.244
BR01,P004,RM-045,2025,2,FERT,Produto Acabado,Centro Distribuicao US,510100,Custo de Mercadoria Vendida (CMV),PC-1000,GBP,TON,3270.858,15860737.15,4849.106
DE10,P004,MAT-1020,2025,12,FERT,Produto Acabado,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-2000,GBP,M,620.225,127576.56,205.694
FR01,P004,SKU-8891,2023,3,HALB,Produto Semi-Acabado,Centro Distribuicao US,510100,Custo de Mercadoria Vendida (CMV),PC-2000,EUR,M,2058.468,8169271.1,3968.617
UK01,P002,HAWA-4001,2023,5,HALB,Produto Semi-Acabado,Filial RJ,510110,Consumo de Materia Prima,PC-1000,GBP,TON,185.817,346388.72,1864.139
US10,P004,FERT-3003,2025,5,FERT,Produto Acabado,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-1000,GBP,PC,4327.417,16000269.51,3697.418
US10,P001,MP-ALPHA,2025,7,ROH,Materia Prima,Fabrica Matriz SP,510100,Custo de Mercadoria Vendida (CMV),PC-1000,GBP,L,23.496,60470.06,2573.632
DE10,P003,FERT-3001,2024,10,FERT,Produto Acabado,Fabrica Berlim,510110,Consumo de Materia Prima,PC-3000,GBP,PC,1189.054,5070189.28,4264.053
UK01,P003,RM-005,2023,9,HALB,Produto Semi-Acabado,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-1000,EUR,PC,1374.85,6094573.94,4432.901
FR01,P002,FERT-3003,2024,7,HALB,Produto Semi-Acabado,Filial RJ,510110,Consumo de Materia Prima,PC-1000,BRL,L,4993.718,7403256.85,1482.514
DE10,P001,FERT-3001,2025,3,HAWA,Mercadoria de Revenda,Fabrica Matriz SP,510110,Consumo de Materia Prima,PC-2000,USD,KG,2976.469,5841180.52,1962.453
US10,P001,MAT-1002,2024,12,ROH,Materia Prima,Fabrica Matriz SP,510100,Custo de Mercadoria Vendida (CMV),PC-2000,GBP,PC,1010.693,90281.16,89.326
UK01,P002,SKU-8891,2023,5,HAWA,Mercadoria de Revenda,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,USD,PC,3760.064,10170003.02,2704.742
US10,P003,MP-BETA,2024,8,HAWA,Mercadoria de Revenda,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-2000,BRL,PC,2648.181,9829642.7,3711.847
BR01,P004,MAT-1015,2023,1,HALB,Produto Semi-Acabado,Centro Distribuicao US,130100,Conta de Estoque Materiais,PC-2000,USD,TON,778.052,3401408.37,4371.698
DE10,P003,RM-012,2025,4,FERT,Produto Acabado,Fabrica Berlim,510110,Consumo de Materia Prima,PC-3000,EUR,M,2381.81,11845965.38,4973.514
DE10,P002,MAT-1004,2024,4,HALB,Produto Semi-Acabado,Filial RJ,510110,Consumo de Materia Prima,PC-3000,GBP,L,2811.291,1434795.78,510.369
US10,P004,MAT-1001,2023,1,ROH,Materia Prima,Centro Distribuicao US,510100,Custo de Mercadoria Vendida (CMV),PC-1000,EUR,KG,4798.913,2475807.21,515.91
UK01,P004,RM-023,2023,8,HALB,Produto Semi-Acabado,Centro Distribuicao US,510100,Custo de Mercadoria Vendida (CMV),PC-2000,GBP,KG,1563.537,399876.15,255.751
US10,P004,MAT-1005,2024,2,HALB,Produto Semi-Acabado,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-1000,USD,KG,1511.056,2978646.47,1971.235
BR01,P002,MAT-1001,2023,5,ROH,Materia Prima,Filial RJ,510110,Consumo de Materia Prima,PC-2000,EUR,TON,2541.329,6221226.76,2448.021
UK01,P002,MAT-1010,2024,11,FERT,Produto Acabado,Filial RJ,510110,Consumo de Materia Prima,PC-3000,USD,PC,1613.13,1957004.15,1213.172
UK01,P003,MP-BETA,2025,3,ROH,Materia Prima,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-1000,EUR,KG,243.798,561804.94,2304.387
UK01,P002,MP-BETA,2023,2,ROH,Materia Prima,Filial RJ,130100,Conta de Estoque Materiais,PC-1000,EUR,TON,47.29,44567.14,942.422
DE10,P002,RM-045,2023,4,ROH,Materia Prima,Filial RJ,130100,Conta de Estoque Materiais,PC-3000,EUR,TON,2951.387,12535505.69,4247.327
US10,P002,FERT-3003,2025,7,HAWA,Mercadoria de Revenda,Filial RJ,130100,Conta de Estoque Materiais,PC-2000,GBP,TON,4277.602,5441379.23,1272.063
DE10,P004,MAT-1020,2025,2,ROH,Materia Prima,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-2000,USD,PC,4065.984,6475799.2,1592.677
FR01,P003,MAT-1015,2024,5,FERT,Produto Acabado,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-1000,EUR,KG,391.464,58775.97,150.144
BR01,P003,FERT-3001,2025,2,HAWA,Mercadoria de Revenda,Fabrica Berlim,510110,Consumo de Materia Prima,PC-2000,BRL,KG,3693.163,5859014.75,1586.449
BR01,P004,FERT-3001,2025,4,FERT,Produto Acabado,Centro Distribuicao US,130100,Conta de Estoque Materiais,PC-1000,GBP,KG,865.547,2195854.65,2536.956
BR01,P003,HALB-2001,2025,5,FERT,Produto Acabado,Fabrica Berlim,510110,Consumo de Materia Prima,PC-2000,BRL,TON,635.423,2850897.73,4486.614
US10,P001,MAT-1002,2024,12,FERT,Produto Acabado,Fabrica Matriz SP,130100,Conta de Estoque Materiais,PC-3000,BRL,KG,2973.243,4383990.31,1474.481
FR01,P001,MAT-1005,2024,3,ROH,Materia Prima,Fabrica Matriz SP,510100,Custo de Mercadoria Vendida (CMV),PC-2000,EUR,PC,4369.569,5545284.56,1269.069
FR01,P004,FERT-3002,2025,2,FERT,Produto Acabado,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-2000,GBP,L,2835.122,10751783.42,3792.353
UK01,P004,FERT-3003,2023,10,ROH,Materia Prima,Centro Distribuicao US,130100,Conta de Estoque Materiais,PC-3000,EUR,PC,2601.63,5308363.25,2040.399
FR01,P001,MAT-1004,2023,12,HALB,Produto Semi-Acabado,Fabrica Matriz SP,510110,Consumo de Materia Prima,PC-3000,GBP,M,4807.787,4293498.02,893.03
FR01,P001,RM-012,2024,5,HALB,Produto Semi-Acabado,Fabrica Matriz SP,130100,Conta de Estoque Materiais,PC-2000,BRL,TON,3667.741,16108535.08,4391.95
FR01,P003,FERT-3003,2025,9,FERT,Produto Acabado,Fabrica Berlim,510110,Consumo de Materia Prima,PC-3000,GBP,TON,2850.099,1493369.22,523.971
US10,P003,MAT-1005,2025,12,ROH,Materia Prima,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-2000,GBP,TON,3718.258,433835.19,116.677
DE10,P004,RM-005,2024,5,FERT,Produto Acabado,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-2000,BRL,TON,1596.343,4859422.94,3044.097
US10,P003,RM-012,2024,10,FERT,Produto Acabado,Fabrica Berlim,510110,Consumo de Materia Prima,PC-1000,USD,KG,984.514,1857436.29,1886.653
BR01,P002,MAT-1020,2023,6,ROH,Materia Prima,Filial RJ,510110,Consumo de Materia Prima,PC-3000,EUR,M,4774.537,5818919.22,1218.74
BR01,P002,MAT-1005,2024,6,HALB,Produto Semi-Acabado,Filial RJ,130100,Conta de Estoque Materiais,PC-1000,BRL,KG,929.645,2426874.53,2610.539
UK01,P001,SKU-8891,2023,3,ROH,Materia Prima,Fabrica Matriz SP,510100,Custo de Mercadoria Vendida (CMV),PC-1000,BRL,PC,3262.943,8085693.48,2478.037
FR01,P002,MP-ALPHA,2025,5,HALB,Produto Semi-Acabado,Filial RJ,510110,Consumo de Materia Prima,PC-3000,EUR,KG,4508.308,22193760.1,4922.858
UK01,P002,MAT-1015,2025,9,HAWA,Mercadoria de Revenda,Filial RJ,130100,Conta de Estoque Materiais,PC-2000,USD,L,2764.938,1343184.76,485.792
US10,P003,MAT-1010,2024,7,ROH,Materia Prima,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-3000,EUR,PC,802.4,3418074.75,4259.814
BR01,P004,RM-005,2023,8,HAWA,Mercadoria de Revenda,Centro Distribuicao US,510100,Custo de Mercadoria Vendida (CMV),PC-3000,USD,KG,3800.315,14676789.93,3861.993
FR01,P001,MAT-1003,2023,8,FERT,Produto Acabado,Fabrica Matriz SP,510110,Consumo de Materia Prima,PC-2000,BRL,L,1323.435,5601499.52,4232.546
FR01,P001,FERT-3001,2024,7,HAWA,Mercadoria de Revenda,Fabrica Matriz SP,130100,Conta de Estoque Materiais,PC-2000,EUR,PC,4256.822,18615086.86,4373.001
BR01,P002,MAT-1004,2025,4,HALB,Produto Semi-Acabado,Filial RJ,130100,Conta de Estoque Materiais,PC-2000,USD,L,4700.155,20868951.41,4440.056
US10,P002,RM-045,2023,3,HALB,Produto Semi-Acabado,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,BRL,L,2173.381,1433653.39,659.642
BR01,P004,MAT-1004,2023,11,ROH,Materia Prima,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-1000,USD,KG,2772.528,2881707.38,1039.379
UK01,P001,MAT-1015,2024,7,ROH,Materia Prima,Fabrica Matriz SP,510110,Consumo de Materia Prima,PC-2000,EUR,KG,3041.038,7072256.22,2325.606
UK01,P004,HAWA-4001,2023,10,ROH,Materia Prima,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-3000,EUR,PC,3708.332,8693546.54,2344.328
BR01,P003,MAT-1020,2025,8,HAWA,Mercadoria de Revenda,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-3000,GBP,PC,3972.491,12370023.15,3113.921
DE10,P001,RM-012,2025,4,FERT,Produto Acabado,Fabrica Matriz SP,510110,Consumo de Materia Prima,PC-1000,GBP,KG,3195.429,40077.07,12.542
DE10,P002,MAT-1003,2024,2,HAWA,Mercadoria de Revenda,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,EUR,PC,762.481,2410798.7,3161.782
BR01,P002,RM-012,2024,8,FERT,Produto Acabado,Filial RJ,510110,Consumo de Materia Prima,PC-3000,EUR,PC,3300.097,9896584.99,2998.877
UK01,P003,FERT-3001,2024,4,ROH,Materia Prima,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-3000,EUR,TON,4230.192,855463.27,202.228
US10,P002,RM-045,2025,9,HALB,Produto Semi-Acabado,Filial RJ,510110,Consumo de Materia Prima,PC-2000,EUR,TON,3300.319,4993709.38,1513.099
FR01,P002,RM-045,2025,4,HAWA,Mercadoria de Revenda,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-2000,BRL,TON,3599.193,9160529.25,2545.162
UK01,P002,RM-005,2023,4,FERT,Produto Acabado,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,BRL,TON,2200.81,1386310.03,629.909
BR01,P003,MAT-1001,2025,12,HALB,Produto Semi-Acabado,Fabrica Berlim,510100,Custo de Mercadoria Vendida (CMV),PC-3000,GBP,PC,1633.408,1616830.54,989.851
US10,P004,MAT-1003,2023,4,ROH,Materia Prima,Centro Distribuicao US,510110,Consumo de Materia Prima,PC-3000,GBP,M,1376.487,955466.43,694.134
DE10,P003,RM-045,2024,9,HAWA,Mercadoria de Revenda,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-1000,USD,TON,3507.254,16710869.34,4764.659
DE10,P001,SKU-8891,2023,7,FERT,Produto Acabado,Fabrica Matriz SP,130100,Conta de Estoque Materiais,PC-2000,EUR,M,1998.981,6851413.43,3427.453
US10,P004,RM-012,2023,11,HALB,Produto Semi-Acabado,Centro Distribuicao US,510100,Custo de Mercadoria Vendida (CMV),PC-2000,EUR,L,4679.752,19982859.26,4270.068
UK01,P002,MAT-1020,2025,4,HAWA,Mercadoria de Revenda,Filial RJ,510100,Custo de Mercadoria Vendida (CMV),PC-3000,GBP,M,1221.781,5575532.84,4563.447
FR01,P001,FERT-3003,2024,9,HAWA,Mercadoria de Revenda,Fabrica Matriz SP,510110,Consumo de Materia Prima,PC-1000,EUR,TON,3813.188,9165218.52,2403.558
US10,P003,MAT-1010,2023,8,HALB,Produto Semi-Acabado,Fabrica Berlim,130100,Conta de Estoque Materiais,PC-3000,USD,M,2930.221,6008424.02,2050.502
