Client,Product,ProductDescription,Language,ProductType,BaseUnit,PurchaseOrderQuantityUnit,PreferredUnitOfMeasure,ProductGroup,ProductHierarchy,Division,IndustrySector,ItemCategoryGroup,CountryOfOrigin,NetWeight,GrossWeight,WeightUnit,MaterialVolume,VolumeUnit,ValidityStartDate,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,AuthorizationGroup,CrossPlantStatus,Brand,ProductManufacturerNumber,WarehouseProductGroup,WarehouseStorageCondition,ProcurementRule,IsMarkedForDeletion,IsBatchManagementRequired,ProductIsConfigurable,QltyMgmtInProcmtIsActive,QualityInspectionGroup,SerialNumberProfile,SizeOrDimensionText
300,000000005010001470,Adesivo Industrial Premium 79A P003,PT,HAWA,M,KG,KG,Z020,003001003001001005,20,C,VERP,BR,50.417,,,0.849,CDM,20160602,MDG_USER08,20230910,CB9980520020,20210702,M002,,ORGL,MFR-738915,,04,F,,,,,ZM01,,
400,000000005010001607,Caixa Arquivo Alimenticio 81C P004,EN,NLAG,M2,EA,M2,Z030,006005005008007005,00,P,VERP,US,165.621,203.652,KG,2.295,M3,20180122,CB9980520010,20141103,MDG_USER12,20260320,M002,02,ZBX1,,,,X,,,,X,,,
510,000000005010001744,Servico de Pintura Leve 91D P001,DE,DIEN,EA,EA,EA,ZMAT,003004009007003006,40,L,BANS,DE,301.959,,,0.453,M3,20150425,CB9980520010,20241030,CB9980520020,20220402,M001,,ZBX1,,,02,,,,,X,QP01,,
600,000000005010001881,Engrenagem Reserva Standard 63B P002,FR,ERSA,L,KG,L,ZSRV,007001002009006008,00,M,LEER,FR,238.746,254.636,KG,,,20220712,MM_BATCH_01,20210108,MDG_USER12,20171112,M001,,,,WA02,Z1,F,,,,X,,,
700,000000005010002018,Caderno Corporativo Alta Densidade 66A P,EN,FERT,PC,EA,EA,Z001,005001002001007002,10,C,NORM,GB,415.001,416.523,KG,1.901,M3,20210111,MDG_USER08,20220202,MM_BATCH_03,20160119,,,0001,,,02,,,,,,,,43mm
812,000000005010002155,Placa Tecnica Alta Densidade 79C P004,PT,HALB,EA,EA,EA,Z002,003006001001005007,10,O,VERP,BR,380.380,,,,,20241105,CB9980520010,20190913,MM_BATCH_03,20161031,ZMM1,02,PLBL,MFR-235455,WA01,02,,,,,,QP01,,
100,000000005010002292,Resina Epoxi Premium 25B P001,EN,ROH,KG,KG,KG,Z010,006003006006008002,20,C,LUMF,US,237.478,292.073,KG,1.726,CDM,20200204,MDG_USER08,20170520,MDG_USER12,20160722,,,ZBRN,,,,,,,,,QP01,,
200,000000005010002429,Valvula de Metal Flexivel 91C P002,DE,HAWA,L,KG,L,Z020,005009005006004009,30,C,BANS,DE,241.305,298.929,KG,,,20161127,MM_BATCH_01,20140507,MM_BATCH_03,20171217,ZMM1,,,MFR-371485,,02,,,,,,,,
300,000000005010002566,Etiqueta Adesiva Farmaceutico 02B P003,FR,NLAG,M,M,M,Z030,002005009005004004,20,O,VERP,FR,113.024,135.018,G,0.771,M3,20140428,MDG_USER08,20160610,MM_BATCH_03,20250411,M001,,,MFR-618446,WA01,Z1,X,X,,X,,QP01,,
400,000000005010002703,Servico de Pintura Reforcado 65A P004,EN,DIEN,EA,EA,EA,ZMAT,007001008005006003,40,C,BANS,GB,376.645,409.767,KG,,,20231130,CB9980520010,20210529,CB9980520020,20160304,ZMM1,01,0001,,,04,,,,,,,,308mm
510,000000005010002840,Kit de Vedacao Tecnico 83B P001,PT,ERSA,L,EA,EA,ZSRV,008004001004003001,00,O,VERP,BR,409.581,471.774,KG,,,20170603,MDG_USER08,20220527,CB9980520020,20190119,ZMM1,,,,,,F,,,,,QP01,,
600,000000005010002977,Componente Eletrico Reforcado 05A P002,EN,FERT,CS,CS,CS,Z001,005004002006002005,30,C,NORM,US,209.214,223.899,G,2.108,L,20160225,MM_BATCH_01,20230215,MDG_USER12,20210326,M002,01,ZBX1,MFR-468333,WA02,04,,,,,,,,
700,000000005010003114,Composto Quimico Premium 69A P003,DE,HALB,PC,PC,PC,Z002,003004003008004006,00,M,LEER,DE,288.689,,,1.784,CDM,20211227,CB9980520010,20200601,MM_BATCH_03,20250730,M002,,,,WA02,04,F,,,,,ZM01,,
812,000000005010003251,Resina Epoxi Farmaceutico 68D P004,FR,ROH,L,EA,L,Z010,007006001002005005,10,A,VERP,FR,228.164,247.817,KG,,,20201016,CB9980520010,20230117,MM_BATCH_03,20170424,M001,ZL,PLBL,MFR-623885,,Z1,,,X,,,,SERI,
100,000000005010003388,Rolamento Industrial 52C P001,EN,HAWA,KG,KG,KG,Z020,002005009001003009,40,M,LUMF,GB,377.815,442.907,KG,,,20190716,CB9980520010,20220825,CB9980520020,20200508,M001,ZL,,,,02,,,X,,,QP01,SERI,
200,000000005010003525,Etiqueta Adesiva Standard 81B P002,PT,NLAG,M2,EA,M2,Z030,003005006004002001,40,M,VERP,BR,2.194,,,0.516,CDM,20241124,MM_BATCH_01,20190127,MDG_USER12,20200408,,ZL,,,,Z1,,,,,X,,,
300,000000005010003662,Servico de Pintura Leve 49B P003,EN,DIEN,EA,EA,EA,ZMAT,004003003008006002,40,L,BANS,US,260.021,,,,,20180102,MDG_USER08,20150224,MM_BATCH_03,20200630,ZMM1,,PLBL,MFR-856533,,,,,,,,,,407mm
400,000000005010003799,Rolamento Reserva Tecnico 98B P004,DE,ERSA,KG,EA,KG,ZSRV,007009006005007009,00,M,LUMF,DE,242.302,290.951,KG,0.515,M3,20161225,CB9980520010,20190312,CB9980520020,20180904,M002,,ZBRN,,,,,,,,,,,
510,000000005010003936,Kit de Montagem Standard 21C P001,FR,FERT,EA,EA,EA,Z001,002008007007009003,30,M,BANS,FR,311.149,360.858,KG,1.619,CDM,20181016,MDG_USER08,20160416,CB9980520020,20200420,ZMM1,ZL,,MFR-200957,WA02,,,,,,X,ZM01,,
600,000000005010004073,Filme Plastico Baixa Densidade 35A P002,EN,HALB,CS,EA,EA,Z002,006001009001004006,10,O,NORM,GB,267.309,273.606,KG,1.576,L,20210912,CB9980520010,20141009,MDG_USER12,20140614,ZMM1,ZL,,,WA01,,F,,,,,,,
700,000000005010004210,Granulado PVC Automotivo 70C P003,PT,ROH,EA,EA,EA,Z010,001003007003004005,00,P,BANS,BR,342.033,422.277,G,,,20240511,MDG_USER08,20171224,MM_BATCH_03,20181224,M002,ZL,,,WA01,04,,,,,X,ZM01,,
812,000000005010004347,Fita Tecnica Standard 71B P004,EN,HAWA,L,L,L,Z020,003004002008003001,30,M,BANS,US,194.721,203.292,KG,1.666,CDM,20200829,MM_BATCH_01,20230103,MM_BATCH_03,20221230,ZMM1,ZL,,,WA02,,,,X,,,,,
100,000000005010004484,Papel Sulfite Baixa Densidade 59C P001,DE,NLAG,EA,KG,EA,Z030,002007002002003007,00,A,LUMF,DE,204.711,,,1.855,CDM,20161114,MDG_USER08,20211214,MM_BATCH_03,20170905,,ZL,,,,02,X,,,,,ZM01,,
200,000000005010004621,Servico de Corte Reforcado 53D P002,FR,DIEN,EA,EA,EA,ZMAT,004003002001008008,30,M,BANS,FR,233.181,280.291,KG,2.081,M3,20170621,MDG_USER08,20250412,MDG_USER12,20180514,ZMM1,02,ORGL,,WHSE,02,X,,,,,,,
300,000000005010004758,Chave de Manutencao Standard 63C P003,EN,ERSA,L,KG,KG,ZSRV,003005009002003002,00,O,LUMF,GB,374.605,387.444,KG,2.164,M3,20140413,MM_BATCH_01,20161120,MDG_USER12,20140515,M001,,,,WHSE,04,,,,,,QP01,,
400,000000005010004895,Bandeja de Aluminio Standard 63A P004,PT,FERT,PC,CS,PC,Z001,006009001008006006,00,O,VERP,BR,386.272,387.205,LB,0.779,L,20180622,MDG_USER08,20170121,MDG_USER12,20170409,,02,PLBL,MFR-471823,WA02,Z1,,,X,,X,QP01,,
510,000000005010005032,Bobina de Papel Alimenticio 99D P001,EN,HALB,PAL,EA,EA,Z002,002003003002009008,30,M,LUMF,US,358.709,369.582,G,1.448,L,20230405,CB9980520010,20230410,MDG_USER12,20221219,M002,ZL,,,WA02,04,F,,,,,,,
600,000000005010005169,Papel Kraft Baixa Densidade 13C P002,DE,ROH,M2,EA,M2,Z010,003001007009006008,00,L,BANS,DE,215.950,,,,,20150602,MDG_USER08,20140212,MM_BATCH_03,20240205,ZMM1,ZL,,,WA01,04,X,,,,,,,
700,000000005010005306,Adesivo Industrial Leve 63C P003,FR,HAWA,M,M,M,Z020,005006001008008006,40,A,BANS,FR,164.793,,,,,20201117,CB9980520010,20150625,MM_BATCH_03,20161202,ZMM1,01,ZBRN,MFR-159524,,02,X,,,,,ZM01,,
812,000000005010005443,Insumo de Apoio Industrial 68C P004,EN,NLAG,EA,KG,EA,Z030,005007003003004003,20,O,LUMF,GB,379.042,,,,,20140314,MM_BATCH_01,20200110,MM_BATCH_03,20141231,M002,02,PLBL,,WHSE,,F,,,,,,,
100,000000005010005580,Servico de Corte Farmaceutico 50D P001,PT,DIEN,EA,EA,EA,ZMAT,003009007002004008,30,M,LEER,BR,153.587,156.416,LB,,,20250519,MM_BATCH_01,20191230,MM_BATCH_03,20140718,,,,,,Z1,F,,,,X,ZM01,,
200,000000005010005717,Kit de Vedacao Reforcado 31C P002,EN,ERSA,G,KG,KG,ZSRV,008002004008009003,20,M,VERP,US,257.036,305.969,KG,0.141,CDM,20160613,CB9980520010,20190120,CB9980520020,20191022,ZMM1,02,,,,04,,,,X,,ZM01,,
300,000000005010005854,Conector de Cobre Industrial 14D P003,DE,FERT,EA,EA,EA,Z001,006008005003003004,40,L,NORM,DE,69.859,85.664,LB,2.222,L,20191114,MDG_USER08,20200721,CB9980520020,20140321,,ZL,,,,,X,,,X,,ZM01,,
400,000000005010005991,Filme Plastico Automotivo 86B P004,FR,HALB,CS,CS,CS,Z002,001007008001003002,00,C,LUMF,FR,418.759,481.872,LB,2.227,M3,20181004,CB9980520010,20231217,CB9980520020,20140531,M001,ZL,,,,,,,X,,,QP01,ZSER,
510,000000005010006128,Polietileno Industrial 06B P001,EN,ROH,L,EA,L,Z010,003003003005002002,30,L,LUMF,GB,89.944,97.148,KG,,,20230820,MDG_USER08,20140810,CB9980520020,20230103,,ZL,,,WA01,Z1,,,,,X,QP01,,
600,000000005010006265,Valvula de Metal Automotivo 98C P002,PT,HAWA,KG,KG,KG,Z020,003006007004004006,10,C,LEER,BR,66.845,77.764,KG,0.218,L,20171117,MM_BATCH_01,20210429,CB9980520020,20150826,ZMM1,,,MFR-482776,,,,,X,,X,ZM01,,
700,000000005010006402,Caixa Arquivo Industrial 03B P003,EN,NLAG,L,EA,EA,Z030,008004001003003007,10,O,VERP,US,395.037,407.942,KG,0.736,L,20190329,CB9980520010,20190108,MDG_USER12,20140917,M001,01,,,WA01,,,,,X,,,,
812,000000005010006539,Servico de Transporte Industrial 16D P00,DE,DIEN,EA,EA,EA,ZMAT,001009004001009009,00,O,LEER,DE,218.050,,,,,20140922,MDG_USER08,20190824,MM_BATCH_03,20161125,ZMM1,ZL,,,,,F,,,,,ZM01,,
100,000000005010006676,Engrenagem Reserva Farmaceutico 25D P001,FR,ERSA,G,EA,EA,ZSRV,002006007005004003,00,O,LUMF,FR,291.091,302.095,KG,0.163,L,20240505,CB9980520010,20240410,MM_BATCH_03,20170711,,,,,WA01,02,,,,,X,ZM01,,
200,000000005010006813,Componente Eletrico Standard 41A P002,EN,FERT,PC,PC,PC,Z001,006008008003006001,20,M,LEER,GB,415.569,,,0.882,L,20221002,MM_BATCH_01,20210913,MDG_USER12,20150901,,02,,,,04,,,,,,,,
300,000000005010006950,Perfil Metalico Tecnico 96B P003,PT,HALB,PAL,CS,CS,Z002,009006005003009007,20,A,VERP,BR,260.133,308.817,LB,,,20250121,MDG_USER08,20151214,MM_BATCH_03,20180208,M002,,ZBX1,,WA01,02,,,,,,QP01,,
400,000000005010007087,Resina Epoxi Reforcado 80C P004,EN,ROH,M2,EA,EA,Z010,006006009004007009,00,A,VERP,US,18.048,19.766,LB,0.003,L,20161025,CB9980520010,20220623,MM_BATCH_03,20161217,M001,02,,,,02,,,X,,,,SERI,
510,000000005010007224,Filtro de Ar Automotivo 29B P001,DE,HAWA,M,KG,M,Z020,001003002005004004,20,L,VERP,DE,61.714,61.749,KG,,,20160113,MDG_USER08,20210615,MDG_USER12,20160209,,01,ORGL,,WA01,02,,,,,X,QP01,,
600,000000005010007361,Etiqueta Adesiva Alta Densidade 15B P002,FR,NLAG,G,G,G,Z030,003002001009007001,10,P,VERP,FR,173.752,197.488,KG,0.010,M3,20210809,MM_BATCH_01,20200418,MDG_USER12,20160514,ZMM1,,,,WHSE,,,,,,,,,
700,000000005010007498,Servico de Corte Alimenticio 25B P003,EN,DIEN,EA,EA,EA,ZMAT,003006007006008009,30,L,VERP,GB,334.573,407.145,LB,1.688,M3,20231231,CB9980520010,20210918,CB9980520020,20190822,M001,02,,MFR-564799,,Z1,X,,,,,,,
812,000000005010007635,Peca de Reposicao Standard 47A P004,PT,ERSA,G,KG,KG,ZSRV,001006003008008003,10,C,BANS,BR,119.146,145.296,KG,,,20210521,CB9980520010,20200611,CB9980520020,20171031,M001,02,,,WA02,,F,X,,,,QP01,,43mm
100,000000005010007772,Embalagem Plastica Baixa Densidade 67B P,EN,FERT,CS,CS,CS,Z001,005004009004009003,20,O,VERP,US,376.677,437.754,G,,,20240916,MM_BATCH_01,20250322,MDG_USER12,20170412,M002,,,,WA02,Z1,X,,,,X,ZM01,,
200,000000005010007909,Painel Laminado Premium 86D P002,DE,HALB,PC,CS,CS,Z002,006009007001006002,40,A,LEER,DE,326.317,384.308,LB,,,20221023,MDG_USER08,20180816,MDG_USER12,20250719,M002,02,PLBL,,,02,,,,,,QP01,,127mm
300,000000005010008046,Tecido Tecnico Reforcado 89C P003,FR,ROH,M,M,M,Z010,001001001008008001,10,P,VERP,FR,157.088,178.688,KG,0.570,CDM,20140502,CB9980520010,20221029,MDG_USER12,20180224,M001,01,ZBX1,,,02,,,,,,,,
400,000000005010008183,Adesivo Industrial Baixa Densidade 46C P,EN,HAWA,M,EA,EA,Z020,008009001001003008,10,C,LUMF,GB,120.790,128.901,KG,,,20200111,MM_BATCH_01,20260115,MDG_USER12,20190819,M001,,,,WA02,04,X,,,,,ZM01,,
510,000000005010008320,Caixa Arquivo Tecnico 22D P001,PT,NLAG,KG,EA,EA,Z030,002003003002003008,20,A,LEER,BR,15.442,17.227,KG,1.002,L,20200806,MDG_USER08,20190922,MDG_USER12,20161214,,,0001,MFR-667754,,,X,,,,,,,
600,000000005010008457,Servico de Corte Standard 21A P002,EN,DIEN,EA,EA,EA,ZMAT,008008007005002009,30,L,NORM,US,277.567,327.076,KG,1.632,M3,20151212,MM_BATCH_01,20180104,CB9980520020,20221115,,01,,,WA01,,X,,,,,QP01,,100mm
700,000000005010008594,Chave de Manutencao Reforcado 41C P003,DE,ERSA,L,EA,EA,ZSRV,008009001003002006,10,M,BANS,DE,313.640,354.929,KG,1.393,L,20180326,CB9980520010,20200820,CB9980520020,20210625,,02,,MFR-140920,,Z1,X,,,,,,,167mm
812,000000005010008731,Conector de Cobre Farmaceutico 52D P004,FR,FERT,PC,PC,PC,Z001,005006006009002003,40,M,NORM,FR,329.516,,,,,20221001,MM_BATCH_01,20250719,MDG_USER12,20260415,M001,02,PLBL,,WA02,,,,,,,,,
100,000000005010008868,Filme Plastico Tecnico 58C P001,EN,HALB,EA,EA,EA,Z002,001006005009003004,20,C,LEER,GB,59.272,,,,,20250623,CB9980520010,20191217,MM_BATCH_03,20200502,ZMM1,ZL,ORGL,,,02,F,,,,,QP01,,
200,000000005010009005,Resina Epoxi Industrial 92C P002,PT,ROH,L,KG,KG,Z010,005004006003006001,30,C,LUMF,BR,54.761,63.579,KG,2.262,M3,20200426,MM_BATCH_01,20171024,CB9980520020,20250406,M002,ZL,,,,Z1,,,,,,,,
300,000000005010009142,Manta Plastica Standard 28B P003,EN,HAWA,EA,EA,EA,Z020,004002005009003008,00,A,NORM,US,388.624,393.053,LB,,,20260116,CB9980520010,20251030,CB9980520020,20221123,M001,02,ORGL,,,04,,,,,X,QP01,,
400,000000005010009279,Etiqueta Adesiva Standard 83C P004,DE,NLAG,G,G,G,Z030,002003005009001009,40,A,LUMF,DE,165.084,166.993,KG,,,20191211,MM_BATCH_01,20151024,CB9980520020,20231230,M002,ZL,,MFR-676508,WA01,Z1,F,,,,X,QP01,,
510,000000005010009416,Servico de Embalagem Farmaceutico 37A P0,FR,DIEN,EA,EA,EA,ZMAT,002005005004003006,40,L,VERP,FR,55.001,67.275,G,2.070,L,20200305,MM_BATCH_01,20151201,CB9980520020,20250213,,,ZBRN,,WA02,02,,,,,,QP01,,
600,000000005010009553,Chave de Manutencao Baixa Densidade 77A ,EN,ERSA,KG,KG,KG,ZSRV,001008005006002001,40,L,NORM,GB,251.763,297.506,KG,1.851,M3,20231129,MM_BATCH_01,20170405,MM_BATCH_03,20241101,M002,02,,,,,X,,,,,ZM01,,
700,000000005010009690,Caixa de Papel Automotivo 55D P003,PT,FERT,PAL,CS,PAL,Z001,004005007001006001,20,A,NORM,BR,310.014,361.029,LB,1.292,M3,20171224,MDG_USER08,20171115,MDG_USER12,20180516,M001,01,,,,04,,X,,,,,,
812,000000005010009827,Composto Quimico Automotivo 36C P004,EN,HALB,PAL,PAL,PAL,Z002,009009004003009003,10,P,NORM,US,147.378,150.225,KG,2.471,M3,20200528,CB9980520010,20250607,MDG_USER12,20220325,M002,,ZBRN,,,04,,,,,,QP01,,351mm
100,000000005010009964,Vidro Temperado Industrial 86B P001,DE,ROH,G,KG,G,Z010,006003002005004004,40,C,VERP,DE,372.061,458.708,KG,,,20210615,MDG_USER08,20210906,CB9980520020,20140915,M002,ZL,,MFR-689765,WA01,,F,,,,X,ZM01,,418mm
200,000000005010010101,Adesivo Industrial Reforcado 98D P002,FR,HAWA,M,KG,KG,Z020,001001003002008009,40,P,LEER,FR,406.053,441.788,KG,,,20220214,MDG_USER08,20181122,MM_BATCH_03,20160630,M002,ZL,,,,04,X,,,,,ZM01,,
300,000000005010010238,Material de Escritorio Baixa Densidade 2,EN,NLAG,KG,KG,KG,Z030,003003008002007002,10,C,LEER,GB,208.492,224.181,KG,,,20230409,CB9980520010,20190228,CB9980520020,20210420,M001,,,,,,F,,,,X,ZM01,,
400,000000005010010375,Servico de Corte Standard 11C P004,PT,DIEN,EA,EA,EA,ZMAT,001009002008008003,00,P,NORM,BR,13.131,,,,,20240825,CB9980520010,20170909,CB9980520020,20160502,M001,01,,MFR-440831,WHSE,,X,,,,,,,
510,000000005010010512,Engrenagem Reserva Alimenticio 19C P001,EN,ERSA,G,KG,G,ZSRV,003002009009005004,40,M,BANS,US,81.134,88.639,KG,2.395,M3,20170104,MM_BATCH_01,20250106,CB9980520020,20230821,ZMM1,,,,,04,,,,,,QP01,,
600,000000005010010649,Conector de Cobre Automotivo 32B P002,DE,FERT,CS,CS,CS,Z001,008005002004001003,30,P,LUMF,DE,121.350,129.489,LB,2.075,M3,20180319,MM_BATCH_01,20160128,MM_BATCH_03,20230302,ZMM1,ZL,ZBRN,MFR-158738,WA01,02,,,X,,,,SERI,462mm
700,000000005010010786,Tubo de Aluminio Alimenticio 96D P003,FR,HALB,PAL,PAL,PAL,Z002,001003009007002004,20,M,BANS,FR,89.295,,,0.228,L,20200202,MDG_USER08,20170615,MDG_USER12,20241227,M001,,ZBRN,,,Z1,,,X,,,,,
812,000000005010010923,Papel Reciclado Baixa Densidade 69D P004,EN,ROH,KG,KG,KG,Z010,006001002007001008,00,M,NORM,GB,47.168,51.696,KG,1.304,M3,20200702,MDG_USER08,20240803,MDG_USER12,20140310,M001,ZL,PLBL,,WA01,02,X,,,,,,,
100,000000005010011060,Parafuso Galvanizado Industrial 76A P001,PT,HAWA,KG,KG,KG,Z020,008003005007001003,20,C,LEER,BR,205.098,244.364,KG,1.908,M3,20170327,MM_BATCH_01,20220509,MDG_USER12,20220719,M001,01,,,WA01,04,,,X,,,,,
200,000000005010011197,Insumo de Apoio Leve 77C P002,EN,NLAG,EA,EA,EA,Z030,003006005006001006,40,P,VERP,US,81.198,,,2.375,CDM,20220117,CB9980520010,20220115,CB9980520020,20191109,M001,02,ZBX1,,WHSE,,,,,,,,,
300,000000005010011334,Servico de Corte Leve 67D P003,DE,DIEN,EA,EA,EA,ZMAT,003009003004002002,30,P,BANS,DE,267.020,,,1.944,CDM,20211207,CB9980520010,20211021,CB9980520020,20220315,,01,ZBX1,,,Z1,,,,,,ZM01,,
400,000000005010011471,Kit de Vedacao Automotivo 34B P004,FR,ERSA,M2,EA,M2,ZSRV,001005002001008005,10,L,LUMF,FR,180.705,213.578,LB,,,20211029,CB9980520010,20211023,CB9980520020,20220301,M002,01,PLBL,,,02,F,,,,,QP01,,
510,000000005010011608,Caderno Corporativo Farmaceutico 97C P00,EN,FERT,EA,CS,EA,Z001,005004002006008008,10,O,NORM,GB,233.180,259.061,LB,1.045,M3,20171122,MDG_USER08,20180613,CB9980520020,20180214,,,,MFR-727734,WA01,04,F,,X,,,QP01,,
600,000000005010011745,Composto Quimico Farmaceutico 51A P002,PT,HALB,PC,CS,PC,Z002,005004002007004008,40,M,LEER,BR,370.207,,,2.271,L,20210124,MDG_USER08,20190228,CB9980520020,20210116,ZMM1,,ZBRN,MFR-623888,,Z1,,,,,,QP01,,
700,000000005010011882,Polietileno Leve 45D P003,EN,ROH,EA,EA,EA,Z010,005003009006001006,10,O,NORM,US,118.146,131.374,KG,1.237,L,20240923,CB9980520010,20230621,CB9980520020,20190718,,01,,,WA01,02,,,,,X,QP01,,
812,000000005010012019,Valvula de Metal Industrial 16A P004,DE,HAWA,EA,EA,EA,Z020,009006004009005007,10,M,VERP,DE,73.163,79.597,KG,2.322,CDM,20200509,MM_BATCH_01,20250922,MDG_USER12,20150216,M002,,,,WHSE,,,,X,,,QP01,,
100,000000005010012156,Pano de Limpeza Baixa Densidade 07B P001,FR,NLAG,L,KG,L,Z030,008005003003003001,40,A,BANS,FR,10.691,11.666,KG,,,20140121,MDG_USER08,20221124,MM_BATCH_03,20170308,M001,,0001,MFR-811455,WHSE,,F,,,,,QP01,,
200,000000005010012293,Servico de Embalagem Leve 26A P002,EN,DIEN,EA,EA,EA,ZMAT,003009006005009004,20,A,LEER,GB,368.345,,,1.161,CDM,20191105,MM_BATCH_01,20230908,MDG_USER12,20141125,,,,,WA02,,,,,,,,,452mm
300,000000005010012430,Rolamento Reserva Flexivel 29A P003,PT,ERSA,KG,EA,KG,ZSRV,002005004006006005,10,L,LEER,BR,268.442,298.318,KG,0.502,M3,20220116,CB9980520010,20171209,CB9980520020,20170302,ZMM1,01,,,WHSE,,F,,,,,,,
400,000000005010012567,Painel Metalico Tecnico 35B P004,EN,FERT,EA,EA,EA,Z001,001001001002007005,10,O,LUMF,US,337.030,413.394,G,1.024,L,20190713,MDG_USER08,20160219,CB9980520020,20220707,M002,,0001,,,Z1,,,,,,ZM01,,257mm
510,000000005010012704,Composto Quimico Reforcado 93D P001,DE,HALB,EA,EA,EA,Z002,002008009003004007,20,C,LEER,DE,295.144,359.310,G,,,20180106,CB9980520010,20190107,MM_BATCH_03,20170101,,02,0001,,,,X,,,,,,,
600,000000005010012841,Tecido Tecnico Leve 01A P002,FR,ROH,M2,KG,M2,Z010,005001004009005009,10,M,BANS,FR,234.124,,,,,20170610,CB9980520010,20241004,CB9980520020,20161014,M002,02,ORGL,,WA01,04,,,,,,,,
700,000000005010012978,Rolamento Farmaceutico 15A P003,EN,HAWA,L,KG,L,Z020,003002005009005006,20,C,NORM,GB,169.669,204.248,KG,1.146,M3,20171201,MM_BATCH_01,20240821,MDG_USER12,20170103,ZMM1,01,,,,04,,,,,,ZM01,,200mm
812,000000005010013115,Material de Escritorio Standard 51C P004,PT,NLAG,M2,M2,M2,Z030,002001009004003002,20,A,VERP,BR,53.873,60.320,LB,,,20151016,MM_BATCH_01,20240929,CB9980520020,20250624,,,,,,04,,,,,,ZM01,,374mm
100,000000005010013252,Servico de Corte Flexivel 88D P001,EN,DIEN,EA,EA,EA,ZMAT,008009002003005001,20,O,LEER,US,42.319,42.491,LB,0.214,CDM,20160417,MDG_USER08,20240809,MM_BATCH_03,20210130,ZMM1,02,ZBX1,,WA01,Z1,,,,,X,QP01,,
